ds,yhat
2024-03-22,25843.32472129598
2024-07-15,29120.606488663165
2024-07-16,29197.615141766044
2024-08-19,29501.688709091188
2024-08-20,29578.757092956635
2024-08-21,29755.97232113967
2024-08-22,29864.63228998951
2024-08-23,29899.47740957808
2024-08-24,-10207.898259802183
2024-08-25,-10196.979526342591
2024-08-26,29578.323292221074
2024-08-27,29655.391677913427
2024-08-28,29832.606908458678
2024-08-29,29941.266877319962
2024-08-30,29976.111996869204
2024-08-31,-10131.26367253151
2024-09-01,-10120.344939011178
2024-09-02,29654.957879539063
2024-09-03,29732.02626522121
2024-09-04,29909.241495778362
2024-09-05,30017.901464650407
2024-09-06,30052.746584189044
2024-09-07,-10054.629085111093
2024-09-08,-10043.710351792746
2024-09-09,29731.592466886163
2024-09-10,29808.660852528992
2024-09-11,29985.876083097373
2024-09-12,30094.536051938252
2024-09-13,30129.381171508878
2024-09-14,-9977.994497804426
2024-09-15,-9967.07576449747
2024-09-16,29808.22705423327
2024-09-17,29885.295439853126
2024-09-18,30062.51067041593
2024-09-19,30171.17063925296
2024-09-20,30206.015758800007
2024-09-21,-9901.359910497766
2024-09-22,-9890.441177129913
