ds,yhat
2024-03-22,20795.820533198726
2024-07-15,24472.3643762727
2024-07-16,24557.784096562093
2024-08-19,24632.84579938849
2024-08-20,24718.292670101247
2024-08-21,24935.802754646407
2024-08-22,24991.791371149102
2024-08-23,24944.514531388573
2024-08-24,-7347.982203741625
2024-08-25,-7343.413579032243
2024-08-26,24665.132140889327
2024-08-27,24750.579011845955
2024-08-28,24968.089096544398
2024-08-29,25024.0777130562
2024-08-30,24976.800873264016
2024-08-31,-7315.695861882616
2024-09-01,-7311.127237124338
2024-09-02,24697.41848278643
2024-09-03,24782.86535373491
2024-09-04,25000.375438442854
2024-09-05,25056.3640549633
2024-09-06,25009.08721516261
2024-09-07,-7283.409519903109
2024-09-08,-7278.840895307336
2024-09-09,24729.704824706976
2024-09-10,24815.151695623863
2024-09-11,25032.661780340837
2024-09-12,25088.650396836383
2024-09-13,25041.373557061204
2024-09-14,-7251.123178015094
2024-09-15,-7246.554553428545
2024-09-16,24761.991166627522
2024-09-17,24847.438037525964
2024-09-18,25064.94812223828
2024-09-19,25120.936738730757
2024-09-20,25073.659898936647
2024-09-21,-7218.836836127079
2024-09-22,-7214.268211491528
