ds,yhat
2024-03-22,18217.09200286203
2024-07-15,21928.358168007522
2024-07-16,22012.91840343107
2024-08-19,22120.721018189128
2024-08-20,22205.233446601247
2024-08-21,22348.74644696328
2024-08-22,22366.455643419773
2024-08-23,22290.982517493292
2024-08-24,-6033.253588704412
2024-08-25,-6027.77323135478
2024-08-26,22159.184026521303
2024-08-27,22243.696454923065
2024-08-28,22387.209455378576
2024-08-29,22404.91865184303
2024-08-30,22329.445525888746
2024-08-31,-5994.790580323359
2024-09-01,-5989.310222930761
2024-09-02,22197.647034935893
2024-09-03,22282.15946333041
2024-09-04,22425.672463794086
2024-09-05,22443.381660266292
2024-09-06,22367.90853430457
2024-09-07,-5956.327571836542
2024-09-08,-5950.847214586758
2024-09-09,22236.110043370983
2024-09-10,22320.622471737748
2024-09-11,22464.135472209382
2024-09-12,22481.844668659796
2024-09-13,22406.3715427204
2024-09-14,-5917.864563430034
2024-09-15,-5912.384206188248
2024-09-16,22274.573051806074
2024-09-17,22359.085480156522
2024-09-18,22502.59848062434
2024-09-19,22520.30767707181
2024-09-20,22444.834551115855
2024-09-21,-5879.401555023518
2024-09-22,-5873.92119773872
