ds,yhat
2024-03-22,13731.745972796445
2024-07-15,16176.45004778351
2024-07-16,16231.513334263262
2024-08-19,16181.796536127289
2024-08-20,16236.857864798967
2024-08-21,16319.964708250967
2024-08-22,16391.914737481267
2024-08-23,16346.503420626697
2024-08-24,-4983.094759940484
2024-08-25,-4982.946202410363
2024-08-26,16182.865441707407
2024-08-27,16237.92677033196
2024-08-28,16321.033613805226
2024-08-29,16392.983643041545
2024-08-30,16347.572326166062
2024-08-31,-4982.025854411917
2024-09-01,-4981.87729684952
2024-09-02,16183.934347261154
2024-09-03,16238.99567588023
2024-09-04,16322.102519359738
2024-09-05,16394.052548601827
2024-09-06,16348.641231720663
2024-09-07,-4980.956948803796
2024-09-08,-4980.808391348839
2024-09-09,16185.003252830295
2024-09-10,16240.064581428502
2024-09-11,16323.171424913999
2024-09-12,16395.121454139542
2024-09-13,16349.710137275266
2024-09-14,-4979.888043256167
2024-09-15,-4979.739485807117
2024-09-16,16186.072158399433
2024-09-17,16241.13348698538
2024-09-18,16324.240330467928
2024-09-19,16396.190359691438
2024-09-20,16350.77904281463
2024-09-21,-4978.819137708539
2024-09-22,-4978.670580227152
