ds,yhat
2024-03-22,47316.26793332302
2024-07-15,57535.13345395817
2024-07-16,57778.38800082786
2024-08-19,57890.27557399979
2024-08-20,58133.46050040252
2024-08-21,58444.06599070537
2024-08-22,58844.93887849931
2024-08-23,58551.92186114583
2024-08-24,-14926.824258112843
2024-08-25,-14916.69323190672
2024-08-26,57961.290073885575
2024-08-27,58204.4750004128
2024-08-28,58515.08049077696
2024-08-29,58915.95337859148
2024-08-30,58622.93636116598
2024-08-31,-14855.809758129668
2024-09-01,-14845.678731812484
2024-09-02,58032.304573955465
2024-09-03,58275.48950046371
2024-09-04,58586.09499084933
2024-09-05,58986.96787868367
2024-09-06,58693.95086123838
2024-09-07,-14784.795257872684
2024-09-08,-14774.664231925562
2024-09-09,58103.3190740781
2024-09-10,58346.504000514615
2024-09-11,58657.10949092092
2024-09-12,59057.98237869817
2024-09-13,58764.965361310795
2024-09-14,-14713.780757824119
2024-09-15,-14703.649731896876
2024-09-16,58174.33357420073
2024-09-17,58417.518500595004
2024-09-18,58728.12399099086
2024-09-19,59128.996878761565
2024-09-20,58835.97986133094
2024-09-21,-14642.766257775555
2024-09-22,-14632.63523173707
