ds,yhat
2024-03-22,20175.519411769485
2024-07-15,24923.321421667184
2024-07-16,25047.669351022643
2024-08-19,24908.24982745638
2024-08-20,25032.570794620486
2024-08-21,25244.65282537946
2024-08-22,25358.90713552601
2024-08-23,25189.31299301948
2024-08-24,-6170.761397791071
2024-08-25,-6171.2024596967385
2024-08-26,24905.230116778475
2024-08-27,25029.5510839293
2024-08-28,25241.63311464481
2024-08-29,25355.887424800087
2024-08-30,25186.293282262828
2024-08-31,-6173.781108563513
2024-09-01,-6174.2221704217845
2024-09-02,24902.210406043025
2024-09-03,25026.531373185855
2024-09-04,25238.613403910487
2024-09-05,25352.867714074157
2024-09-06,25183.273571528538
2024-09-07,-6176.800819219132
2024-09-08,-6177.2418812351825
2024-09-09,24899.19069533015
2024-09-10,25023.511662442404
2024-09-11,25235.593693175833
2024-09-12,25349.84800331537
2024-09-13,25180.253860794255
2024-09-14,-6179.82052996359
2024-09-15,-6180.261591988277
2024-09-16,24896.170984617278
2024-09-17,25020.491951711578
2024-09-18,25232.573982440386
2024-09-19,25346.82829257712
2024-09-20,25177.234150037595
2024-09-21,-6182.840240708056
2024-09-22,-6183.281302685271
