ds,yhat
2024-03-22,16088.50382110056
2024-07-15,17853.68391435832
2024-07-16,17924.725152180115
2024-08-19,18267.524849417332
2024-08-20,18347.606091592967
2024-08-21,18513.377386602668
2024-08-22,18578.272245992157
2024-08-23,18499.238541093284
2024-08-24,-252187.25401277366
2024-08-25,307169.6001489674
2024-08-26,18418.168973203494
2024-08-27,18498.250222715527
2024-08-28,18664.021518383746
2024-08-29,18728.916378229078
2024-08-30,18649.882673659235
2024-08-31,-252036.60987988632
2024-09-01,307320.24428158865
2024-09-02,18568.81310505655
2024-09-03,18648.89435495771
2024-09-04,18814.66565243221
2024-09-05,18879.56051046599
2024-09-06,18800.526805511832
2024-09-07,-251885.96574807906
2024-09-08,307470.8884134417
2024-09-09,18719.457237609895
2024-09-10,18799.538487199905
2024-09-11,18965.309784213292
2024-09-12,19030.20464307233
2024-09-13,18951.170937364393
2024-09-14,-251735.3216154522
2024-09-15,307621.53254581883
2024-09-16,18870.101370163287
2024-09-17,18950.182620459884
2024-09-18,19115.953916470688
2024-09-19,19180.8487763343
2024-09-20,19101.81506993036
2024-09-21,-251584.67748282535
2024-09-22,307772.17667868425
