ds,yhat
2024-03-22,11223.47813008817
2024-07-15,14940.136797725581
2024-07-16,14971.266697520143
2024-08-19,15324.348265047502
2024-08-20,15355.487173837722
2024-08-21,15527.33793813867
2024-08-22,15769.621752084267
2024-08-23,15880.54245828852
2024-08-24,-1404.4822503983614
2024-08-25,-1393.5088958926735
2024-08-26,15401.253623933055
2024-08-27,15432.392532863909
2024-08-28,15604.24329729129
2024-08-29,15846.527111241914
2024-08-30,15957.447817429356
2024-08-31,-1327.576891266257
2024-09-01,-1316.603536734725
2024-09-02,15478.158983085115
2024-09-03,15509.297892011784
2024-09-04,15681.148656444871
2024-09-05,15923.432470399559
2024-09-06,16034.353176582217
2024-09-07,-1250.6715320699332
2024-09-08,-1239.6981776246448
2024-09-09,15555.064342249792
2024-09-10,15586.203251159663
2024-09-11,15758.05401559749
2024-09-12,16000.337829538428
2024-09-13,16111.258535735074
2024-09-14,-1173.7661729225729
2024-09-15,-1162.7928184821649
2024-09-16,15631.969701414471
2024-09-17,15663.108610314808
2024-09-18,15834.95937474942
2024-09-19,16077.243188689667
2024-09-20,16188.16389487591
2024-09-21,-1096.8608137752126
2024-09-22,-1085.887459308753
