ds,yhat
2024-03-22,15056.99497232913
2024-07-15,19029.09792142913
2024-07-16,19080.013102317153
2024-08-19,18771.33145493043
2024-08-20,18822.340213005387
2024-08-21,19067.341144262187
2024-08-22,19099.586125446862
2024-08-23,19079.030293573924
2024-08-24,-4280.5186413823085
2024-08-25,-4287.800460321159
2024-08-26,18720.43320301007
2024-08-27,18771.441961217723
2024-08-28,19016.442892503557
2024-08-29,19048.687873694835
2024-08-30,19028.13204179905
2024-08-31,-4331.416893169082
2024-09-01,-4338.698712072666
2024-09-02,18669.534951250687
2024-09-03,18720.54370945262
2024-09-04,18965.544640745502
2024-09-05,18997.789621942797
2024-09-06,18977.233790040893
2024-09-07,-4382.3151448688095
2024-09-08,-4389.596963889537
2024-09-09,18618.636699508374
2024-09-10,18669.64545768752
2024-09-11,18914.646388986876
2024-09-12,18946.89137016624
2024-09-13,18926.335538282736
2024-09-14,-4433.213396634581
2024-09-15,-4440.495215662171
2024-09-16,18567.738447766063
2024-09-17,18618.74720593205
2024-09-18,18863.748137227674
2024-09-19,18895.993118405084
2024-09-20,18875.437286507862
2024-09-21,-4484.111648400358
2024-09-22,-4491.393467392543
