ds,yhat
2024-03-22,16959.021915251615
2024-07-15,20993.687396964353
2024-07-16,20948.01476808818
2024-08-19,21005.97599585245
2024-08-20,20960.222289000376
2024-08-21,21076.828193095174
2024-08-22,21094.918865873362
2024-08-23,21150.616579212983
2024-08-24,-5179.200387027122
2024-08-25,-5178.857499673533
2024-08-26,21008.417502244978
2024-08-27,20962.663795528857
2024-08-28,21079.269699490178
2024-08-29,21097.36037227587
2024-08-30,21153.058085589575
2024-08-31,-5176.758880664069
2024-09-01,-5176.41599327045
2024-09-02,21010.85900863918
2024-09-03,20965.105301916392
2024-09-04,21081.71120588541
2024-09-05,21099.801878678387
2024-09-06,21155.49959198524
2024-09-07,-5174.317374202536
2024-09-08,-5173.974486941721
2024-09-09,21013.300515052597
2024-09-10,20967.54680830393
2024-09-11,21084.152712280422
2024-09-12,21102.243385052847
2024-09-13,21157.941098380907
2024-09-14,-5171.8758678156355
2024-09-15,-5171.53298056253
2024-09-16,21015.742021466012
2024-09-17,20969.988314702183
2024-09-18,21086.59421867514
2024-09-19,21104.684891444835
2024-09-20,21160.3826047575
2024-09-21,-5169.434361428743
2024-09-22,-5169.091474135546
