ds,yhat
2024-03-22,4315.519543427492
2024-07-15,4888.930697174701
2024-07-16,4911.888194091845
2024-08-19,4924.9760280348755
2024-08-20,4947.925400566686
2024-08-21,4970.502835403235
2024-08-22,4981.45559196394
2024-08-23,4973.084972778441
2024-08-24,-1732.5810381093002
2024-08-25,-1731.5576561356165
2024-08-26,4932.183470431319
2024-08-27,4955.132843011708
2024-08-28,4977.710277740302
2024-08-29,4988.663034302911
2024-08-30,4980.292415110839
2024-08-31,-1725.3735957803092
2024-09-01,-1724.350213796466
2024-09-02,4939.390912768236
2024-09-03,4962.340285346903
2024-09-04,4984.9177200774575
2024-09-05,4995.870476641881
2024-09-06,4987.499857448037
2024-09-07,-1718.166153426288
2024-09-08,-1717.142771476244
2024-09-09,4946.598355110005
2024-09-10,4969.547727682098
2024-09-11,4992.125162414525
2024-09-12,5003.077918973771
2024-09-13,4994.707299785233
2024-09-14,-1710.9587110912885
2024-09-15,-1709.935329143119
2024-09-16,4953.805797451774
2024-09-17,4976.755170020009
2024-09-18,4999.332604751543
2024-09-19,5010.285361310103
2024-09-20,5001.914742117632
2024-09-21,-1703.7512687562921
2024-09-22,-1702.7278867979435
