ds,yhat
2024-03-22,4346.353107471383
2024-07-15,4925.42048222731
2024-07-16,4948.57259609012
2024-08-19,4961.7009019645775
2024-08-20,4984.852286786604
2024-08-21,5007.628562010948
2024-08-22,5018.470755942113
2024-08-23,5010.219906828499
2024-08-24,-1736.4324219008581
2024-08-25,-1735.4003905347222
2024-08-26,4968.956840993365
2024-08-27,4992.108225912166
2024-08-28,5014.884501173238
2024-08-29,5025.726695106317
2024-08-30,5017.4758459860905
2024-08-31,-1729.176482746696
2024-09-01,-1728.144451370339
2024-09-02,4976.212780155503
2024-09-03,4999.36416507257
2024-09-04,5022.140440335614
2024-09-05,5032.98263427052
2024-09-06,5024.731785148509
2024-09-07,-1721.9205435673498
2024-09-08,-1720.888512224998
2024-09-09,4983.468719322522
2024-09-10,5006.620104232974
2024-09-11,5029.396379497904
2024-09-12,5040.2385734275995
2024-09-13,5031.987724310928
2024-09-14,-1714.664604407143
2024-09-15,-1713.6325730666777
2024-09-16,4990.724658489541
2024-09-17,5013.8760433961115
2024-09-18,5036.652318660143
2024-09-19,5047.494512589148
2024-09-20,5039.243663468518
2024-09-21,-1707.4086652469377
2024-09-22,-1706.3766338962314
