ds,yhat
2024-03-22,27852.109118668217
2024-07-15,31110.357076986347
2024-07-16,31266.10198319449
2024-08-19,31450.375452922548
2024-08-20,31606.06928797684
2024-08-21,31844.808320756187
2024-08-22,31871.42307982977
2024-08-23,31876.026224408528
2024-08-24,-11365.836924784366
2024-08-25,-11356.156475027867
2024-08-26,31518.36895615327
2024-08-27,31674.062792041863
2024-08-28,31912.801825344723
2024-08-29,31939.41658443062
2024-08-30,31944.01972896705
2024-08-31,-11297.8434202479
2024-09-01,-11288.16297042594
2024-09-02,31586.362460740726
2024-09-03,31742.056296618393
2024-09-04,31980.795329934073
2024-09-05,32007.410089031477
2024-09-06,32012.013233556543
2024-09-07,-11229.849915550018
2024-09-08,-11220.169465945706
2024-09-09,31654.355965359653
2024-09-10,31810.04980119493
2024-09-11,32048.788834522613
2024-09-12,32075.40359358675
2024-09-13,32080.006738146032
2024-09-14,-11161.856410974717
2024-09-15,-11152.175961382789
2024-09-16,31722.349469978588
2024-09-17,31878.043305789157
2024-09-18,32116.782339110818
2024-09-19,32143.397098170644
2024-09-20,32148.00024270455
2024-09-21,-11093.86290639942
2024-09-22,-11084.182456741833
