ds,yhat
2024-03-22,12713.188024447489
2024-07-15,14915.919411090528
2024-07-16,14982.518889338557
2024-08-19,15430.692824092956
2024-08-20,15497.16717906138
2024-08-21,15218.817518373602
2024-08-22,15275.882314999355
2024-08-23,15008.807731511977
2024-08-24,-4399.044232004153
2024-08-25,-4384.330807856213
2024-08-26,15533.622481799604
2024-08-27,15600.096836832105
2024-08-28,15321.74717607258
2024-08-29,15378.81197270361
2024-08-30,15111.737389196911
2024-08-31,-4296.114574328856
2024-09-01,-4281.401150151116
2024-09-02,15636.55213949858
2024-09-03,15703.026494525304
2024-09-04,15424.676833770449
2024-09-05,15481.741630407865
2024-09-06,15214.667046895927
2024-09-07,-4193.1849165808435
2024-09-08,-4178.471492502635
2024-09-09,15739.481797210941
2024-09-10,15805.956152218507
2024-09-11,15527.606491469425
2024-09-12,15584.671288091648
2024-09-13,15317.596704594947
2024-09-14,-4090.2552588883027
2024-09-15,-4075.5418348145377
2024-09-16,15842.411454923304
2024-09-17,15908.885809918827
2024-09-18,15630.536149168614
2024-09-19,15687.60094578778
2024-09-20,15420.526362279885
2024-09-21,-3987.3256011957565
2024-09-22,-3972.61217709244
