ds,yhat
2024-03-22,2840.7071183729995
2024-07-15,2931.0417226584145
2024-07-16,2934.8808885431395
2024-08-19,2976.6115950404615
2024-08-20,2979.590761293245
2024-08-21,2980.541748941048
2024-08-22,2981.1725719711003
2024-08-23,2980.927117643286
2024-08-24,-10117.682955558686
2024-08-25,-14924.038197109465
2024-08-26,3178.606660238671
2024-08-27,3220.335375864868
2024-08-28,3260.324072962231
2024-08-29,3260.9548959926838
2024-08-30,3260.7094416467307
2024-08-31,-9837.900631565952
2024-09-01,-14644.255873090777
2024-09-02,3458.3889842588787
2024-09-03,3500.117699877621
2024-09-04,3540.1063969635875
2024-09-05,3540.737220014268
2024-09-06,3540.491765667648
2024-09-07,-9558.118307505874
2024-09-08,-14364.473549109582
2024-09-09,3738.171308284195
2024-09-10,3779.900023890373
2024-09-11,3819.8887209847708
2024-09-12,3820.5195440163398
2024-09-13,3820.274089688563
2024-09-14,-9278.335983496858
2024-09-15,-14084.691225102766
2024-09-16,4017.953632309513
2024-09-17,4059.6823479004606
2024-09-18,4099.671045001853
2024-09-19,4100.301868022727
2024-09-20,4100.0564136920075
2024-09-21,-8998.55365948784
2024-09-22,-13804.90890107221
