ds,yhat
2024-03-22,3143.8029923290514
2024-07-15,3249.7335472067375
2024-07-16,3254.6545467131573
2024-08-19,3299.9335473728406
2024-08-20,3309.6145485883026
2024-08-21,3310.344062514311
2024-08-22,3309.734099140136
2024-08-23,3308.0030354722458
2024-08-24,6493.2751226037
2024-08-25,8853.762215805638
2024-08-26,3338.8394408442305
2024-08-27,3348.520441915363
2024-08-28,3349.2499562764715
2024-08-29,3348.639992902983
2024-08-30,3346.9089292407284
2024-08-31,6532.181016375747
2024-09-01,8892.66810957
2024-09-02,3377.7453346068046
2024-09-03,3387.4263356806914
2024-09-04,3388.155850048152
2024-09-05,3387.5458866658296
2024-09-06,3385.81482300309
2024-09-07,6571.086910127095
2024-09-08,8931.574003343354
2024-09-09,3416.6512283691936
2024-09-10,3426.3322294460204
2024-09-11,3427.0617438103127
2024-09-12,3426.4517804348443
2024-09-13,3424.7207167654515
2024-09-14,6609.992803894152
2024-09-15,8970.479897110588
2024-09-16,3455.557122131582
2024-09-17,3465.238123213888
2024-09-18,3465.9676375745003
2024-09-19,3465.3576742037285
2024-09-20,3463.6266105339346
2024-09-21,6648.898697661209
2024-09-22,9009.385790872078
