ds,yhat
2024-03-22,2256.447803438906
2024-07-15,2303.534114465023
2024-07-16,2303.9312234474983
2024-08-19,2317.6641278167417
2024-08-20,2318.0612367992026
2024-08-21,2318.445947380894
2024-08-22,2318.852227246198
2024-08-23,2319.267861960553
2024-08-24,-28116.025628966738
2024-08-25,-28777.22271867381
2024-08-26,2320.490142037529
2024-08-27,2320.8872510414894
2024-08-28,2321.2719616029153
2024-08-29,2321.678241476422
2024-08-30,2322.093876160101
2024-08-31,-28113.199614783312
2024-09-01,-28774.396704443236
2024-09-02,2323.31615625876
2024-09-03,2323.7132652542177
2024-09-04,2324.097975822253
2024-09-05,2324.504255706649
2024-09-06,2324.919890382742
2024-09-07,-28110.37360048354
2024-09-08,-28771.570690299086
2024-09-09,2326.142170501409
2024-09-10,2326.539279466947
2024-09-11,2326.9239900442717
2024-09-12,2327.3302699037476
2024-09-13,2327.745904605382
2024-09-14,-28107.547586272063
2024-09-15,-28768.74467609598
2024-09-16,2328.968184744059
2024-09-17,2329.365293690813
2024-09-18,2329.7500042657266
2024-09-19,2330.156284120416
2024-09-20,2330.571918804928
2024-09-21,-28104.72157206058
2024-09-22,-28765.918661837957
