ds,yhat
2024-03-22,2295.3884484846567
2024-07-15,2351.1208418564465
2024-07-16,2351.6439644184984
2024-08-19,2363.570847791728
2024-08-20,2364.4139703783962
2024-08-21,2363.5623618907484
2024-08-22,2363.638721963636
2024-08-23,2363.8184682190044
2024-08-24,-9969.879770944042
2024-08-25,2802.478152117967
2024-08-26,2368.3008494212318
2024-08-27,2369.143972054024
2024-08-28,2368.2923635429715
2024-08-29,2368.3687236280193
2024-08-30,2368.5484698848395
2024-08-31,-9965.149769274021
2024-09-01,2807.2081537912863
2024-09-02,2373.030851074962
2024-09-03,2373.8739737150236
2024-09-04,2373.022365246959
2024-09-05,2373.0987252924024
2024-09-06,2373.2784715388398
2024-09-07,-9960.419767605636
2024-09-08,2811.9381554295774
2024-09-09,2377.7608527491307
2024-09-10,2378.603975376023
2024-09-11,2377.7523668991817
2024-09-12,2377.8287269586735
2024-09-13,2378.008473192839
2024-09-14,-9955.68976593601
2024-09-15,2816.668157091771
2024-09-16,2382.4908544233003
2024-09-17,2383.33397706273
2024-09-18,2382.4823685622946
2024-09-19,2382.558728643989
2024-09-20,2382.7384748586737
2024-09-21,-9950.959764266381
2024-09-22,2821.3981587762146
