ds,yhat
2024-03-22,6341.018207332776
2024-07-15,6885.604492708686
2024-07-16,6904.888245269218
2024-08-19,6864.332123599754
2024-08-20,6883.616298306828
2024-08-21,6914.066932283296
2024-08-22,6925.85644705318
2024-08-23,6929.573300362581
2024-08-24,-2968.663698666203
2024-08-25,-2969.280714661424
2024-08-26,6860.080605903871
2024-08-27,6879.364780402785
2024-08-28,6909.8154141799005
2024-08-29,6921.604928952608
2024-08-30,6925.321782252305
2024-08-31,-2972.915216781528
2024-09-01,-2973.5322327617496
2024-09-02,6855.829087800237
2024-09-03,6875.113262296621
2024-09-04,6905.5638960766455
2024-09-05,6917.353410852036
2024-09-06,6921.070264149124
2024-09-07,-2977.1667348598935
2024-09-08,-2977.783750889995
2024-09-09,6851.577569703786
2024-09-10,6870.861744190455
2024-09-11,6901.3123779732505
2024-09-12,6913.1018927409705
2024-09-13,6916.818746045943
2024-09-14,-2981.418252966333
2024-09-15,-2982.0352689992387
2024-09-16,6847.326051607337
2024-09-17,6866.610226088315
2024-09-18,6897.0608598697945
2024-09-19,6908.8503746365
2024-09-20,6912.567227935668
2024-09-21,-2985.6697710727713
2024-09-22,-2986.2867870906452
