ds,yhat
2024-03-22,23669.482790367074
2024-07-15,26283.287833922826
2024-07-16,26362.393863173522
2024-08-19,26380.252875046805
2024-08-20,26459.429338929287
2024-08-21,26581.87877949064
2024-08-22,26632.400463408532
2024-08-23,26651.7937778783
2024-08-24,-10097.893691905927
2024-08-25,-10095.08303679074
2024-08-26,26400.138925077732
2024-08-27,26479.31538886501
2024-08-28,26601.76482936199
2024-08-29,26652.286513290368
2024-08-30,26671.679827724107
2024-08-31,-10078.007642078872
2024-09-01,-10075.196986907995
2024-09-02,26420.024974948195
2024-09-03,26499.20143872608
2024-09-04,26621.650879233886
2024-09-05,26672.172563172207
2024-09-06,26691.565877596255
2024-09-07,-10058.121592114574
2024-09-08,-10055.310937128896
2024-09-09,26439.911024845333
2024-09-10,26519.08748858715
2024-09-11,26641.536929105234
2024-09-12,26692.058613015077
2024-09-13,26711.4519274684
2024-09-14,-10038.235542254526
2024-09-15,-10035.424887279263
2024-09-16,26459.797074742477
2024-09-17,26538.97353846318
2024-09-18,26661.42297897635
2024-09-19,26711.944662882448
2024-09-20,26731.337977314208
2024-09-21,-10018.349492394478
2024-09-22,-10015.538837363398
