ds,yhat
2024-03-22,19995.4346442538
2024-07-15,23171.48011809919
2024-07-16,23238.93626646616
2024-08-19,23178.13406377654
2024-08-20,23245.655450281636
2024-08-21,23368.64682796722
2024-08-22,23440.69827759999
2024-08-23,23417.819506471813
2024-08-24,-7641.423615703903
2024-08-25,-7641.173046189668
2024-08-26,23179.921520447933
2024-08-27,23247.442906431206
2024-08-28,23370.434283828472
2024-08-29,23442.48573347005
2024-08-30,23419.606962311424
2024-08-31,-7639.636159880085
2024-09-01,-7639.385590318814
2024-09-02,23181.708976308422
2024-09-03,23249.230362283753
2024-09-04,23372.221739690154
2024-09-05,23444.273189340114
2024-09-06,23421.39441817327
2024-09-07,-7637.8487039403535
2024-09-08,-7637.598134535541
2024-09-09,23183.496432191394
2024-09-10,23251.017818136297
2024-09-11,23374.0091955514
2024-09-12,23446.060645177284
2024-09-13,23423.18187403511
2024-09-14,-7636.061248088699
2024-09-15,-7635.810678692616
2024-09-16,23185.283888074373
2024-09-17,23252.805274001446
2024-09-18,23375.796651412285
2024-09-19,23447.84810103513
2024-09-20,23424.969329874722
2024-09-21,-7634.273792237051
2024-09-22,-7634.02322279383
