ds,yhat
2024-03-22,2577.6690044008806
2024-07-15,2645.4153147334528
2024-07-16,2648.580758010159
2024-08-19,2684.9456448485403
2024-08-20,2687.141100686079
2024-08-21,2687.952975882952
2024-08-22,2688.6086123824166
2024-08-23,2687.9793696544166
2024-08-24,-26754.68909198545
2024-08-25,18316.29075086645
2024-08-26,2743.6616902239143
2024-08-27,2751.1385843897096
2024-08-28,2761.8248824167244
2024-08-29,2762.4805189550775
2024-08-30,2761.8512762460355
2024-08-31,-26680.817185371863
2024-09-01,18390.162657470275
2024-09-02,2817.533596763314
2024-09-03,2825.0104909584375
2024-09-04,2835.696789133086
2024-09-05,2836.3524255277407
2024-09-06,2835.7231827857563
2024-09-07,-26606.94527881665
2024-09-08,18464.034563990415
2024-09-09,2891.405503364656
2024-09-10,2898.8823975271607
2024-09-11,2909.568695666858
2024-09-12,2910.224332122044
2024-09-13,2909.5950893254753
2024-09-14,-26533.07337221712
2024-09-15,18537.906470567672
2024-09-16,2965.277409965998
2024-09-17,2972.75430418093
2024-09-18,2983.44060223904
2024-09-19,2984.0962387741747
2024-09-20,2983.466995917096
2024-09-21,-26459.201465617596
2024-09-22,18611.778377198072
