ds,yhat
2024-03-22,46339.78462487874
2024-07-15,58050.79422567472
2024-07-16,58050.93277509067
2024-08-19,60849.22871419459
2024-08-20,60849.02755432954
2024-08-21,59283.12845399766
2024-08-22,59507.55835429073
2024-08-23,58734.91832954233
2024-08-24,-13968.999320883835
2024-08-25,-13889.050378915483
2024-08-26,61408.84768660071
2024-08-27,61408.64652875046
2024-08-28,59842.747432532255
2024-08-29,60067.17733284533
2024-08-30,59294.53730802414
2024-08-31,-13409.380342438388
2024-09-01,-13329.431400357738
2024-09-02,61968.466665135566
2024-09-03,61968.26550726297
2024-09-04,60402.36641106164
2024-09-05,60626.79631139994
2024-09-06,59854.156286559155
2024-09-07,-12849.761363719641
2024-09-08,-12769.812422013994
2024-09-09,62528.085643720384
2024-09-10,62527.88448577547
2024-09-11,60961.98538959622
2024-09-12,61186.41528987659
2024-09-13,60413.775265094184
2024-09-14,-12290.142385209314
2024-09-15,-12210.193443519958
2024-09-16,63087.7046223052
2024-09-17,63087.50346431424
2024-09-18,61521.60436813274
2024-09-19,61746.034268400224
2024-09-20,60973.394243576
2024-09-21,-11730.52340669898
2024-09-22,-11650.574464898498
