ds,yhat
2024-03-22,21046.541368196908
2024-07-15,25402.442123362795
2024-07-16,25499.60339563845
2024-08-19,25386.115056667746
2024-08-20,25483.300287480495
2024-08-21,25586.722372896773
2024-08-22,25563.63126440612
2024-08-23,25850.529689193507
2024-08-24,-6734.885743077213
2024-08-25,-6735.358317820999
2024-08-26,25383.017353480718
2024-08-27,25480.20258435303
2024-08-28,25583.624669731915
2024-08-29,25560.533561250915
2024-08-30,25847.43198600656
2024-08-31,-6737.983446281018
2024-09-01,-6738.456020975575
2024-09-02,25379.91965031508
2024-09-03,25477.10488117933
2024-09-04,25580.526966568425
2024-09-05,25557.435858095716
2024-09-06,25844.334282842814
2024-09-07,-6741.0811493630845
2024-09-08,-6741.553724221274
2024-09-09,25376.8219471735
2024-09-10,25474.00717800563
2024-09-11,25577.429263403566
2024-09-12,25554.33815490563
2024-09-13,25841.236579679065
2024-09-14,-6744.178852537578
2024-09-15,-6744.651427405473
2024-09-16,25373.72424403192
2024-09-17,25470.909474845663
2024-09-18,25574.33156023911
2024-09-19,25551.240451737933
2024-09-20,25838.13887649212
2024-09-21,-6747.27655571206
2024-09-22,-6747.749130530432
