ds,yhat
2024-03-22,46867.653567855654
2024-07-15,52323.91149903559
2024-07-16,52511.73895101169
2024-08-19,50500.37085689604
2024-08-20,50688.158490782414
2024-08-21,50685.51514354639
2024-08-22,50985.64347745791
2024-08-23,50929.59249320454
2024-08-24,-21787.507580495054
2024-08-25,-21839.623036383848
2024-08-26,50135.654766669126
2024-08-27,50323.44240077058
2024-08-28,50320.79905335831
2024-08-29,50620.92738729062
2024-08-30,50564.87640296614
2024-08-31,-22152.2236707702
2024-09-01,-22204.33912654921
2024-09-02,49770.938676479636
2024-09-03,49958.726310562226
2024-09-04,49956.08296317157
2024-09-05,50256.21129712334
2024-09-06,50200.16031277928
2024-09-07,-22516.939760774407
2024-09-08,-22569.055216919456
2024-09-09,49406.22258634248
2024-09-10,49594.01022035387
2024-09-11,49591.366872983475
2024-09-12,49891.49520687853
2024-09-13,49835.444222592385
2024-09-14,-22881.655850984964
2024-09-15,-22933.77130714971
2024-09-16,49041.50649620533
2024-09-17,49229.29413017492
2024-09-18,49226.65078279486
2024-09-19,49526.77911668303
2024-09-20,49470.728132354
2024-09-21,-23246.371941195503
2024-09-22,-23298.487397250166
