ds,yhat
2024-03-22,5744.711410460519
2024-07-15,7228.7760364023325
2024-07-16,7207.544910598874
2024-08-19,7568.086500757201
2024-08-20,7546.808210248269
2024-08-21,7374.443415592744
2024-08-22,7325.291445964219
2024-08-23,7249.359939215379
2024-08-24,-1778.75290090233
2024-08-25,-1769.059149644716
2024-08-26,7635.939163711287
2024-08-27,7614.660873682709
2024-08-28,7442.296079262922
2024-08-29,7393.144109636885
2024-08-30,7317.212602878975
2024-08-31,-1710.900237243347
2024-09-01,-1701.2064859716847
2024-09-02,7703.791827381441
2024-09-03,7682.513537350134
2024-09-04,7510.148742932372
2024-09-05,7460.9967733095555
2024-09-06,7385.065266549327
2024-09-07,-1643.0475735502923
2024-09-08,-1633.353822325298
2024-09-09,7771.644491057901
2024-09-10,7750.366201017561
2024-09-11,7578.001406602551
2024-09-12,7528.849436972643
2024-09-13,7452.917930219679
2024-09-14,-1575.1949098830855
2024-09-15,-1565.5011586603277
2024-09-16,7839.497154734359
2024-09-17,7818.218864688284
2024-09-18,7645.85407027309
2024-09-19,7596.70210064136
2024-09-20,7520.770593883273
2024-09-21,-1507.342246215875
2024-09-22,-1497.6484949792348
