ds,yhat
2024-03-22,8204.115575425772
2024-07-15,9445.095166956471
2024-07-16,9466.700582521888
2024-08-19,9342.326978740955
2024-08-20,9363.923350793266
2024-08-21,9415.349007438686
2024-08-22,9431.096726469188
2024-08-23,9407.343313658928
2024-08-24,-3345.8530078620206
2024-08-25,-3348.799636087502
2024-08-26,9321.771532824556
2024-08-27,9343.367904866169
2024-08-28,9394.793561554616
2024-08-29,9410.541280588717
2024-08-30,9386.787867765941
2024-08-31,-3366.4084537614954
2024-09-01,-3369.355081967642
2024-09-02,9301.216086940161
2024-09-03,9322.812458978511
2024-09-04,9374.238115670662
2024-09-05,9389.985834708243
2024-09-06,9366.232421882109
2024-09-07,-3386.963899613368
2024-09-08,-3389.910527883785
2024-09-09,9280.660641064995
2024-09-10,9302.257013090853
2024-09-11,9353.682669786589
2024-09-12,9369.43038881431
2024-09-13,9345.676975998282
2024-09-14,-3407.5193455013914
2024-09-15,-3410.4659737754064
2024-09-16,9260.105195189833
2024-09-17,9281.701567208347
2024-09-18,9333.12722390236
2024-09-19,9348.87494292879
2024-09-20,9325.121530105293
2024-09-21,-3428.074791389413
2024-09-22,-3431.0214196440684
