ds,yhat
2024-03-22,2665.9942917381795
2024-07-15,2742.8508047260657
2024-07-16,2746.2168054151243
2024-08-19,2781.82083020555
2024-08-20,2784.6268305619687
2024-08-21,2785.646144448421
2024-08-22,2786.254845448855
2024-08-23,2785.5743799165884
2024-08-24,-53719.663990381334
2024-08-25,-63528.29756437326
2024-08-26,2785.694833938289
2024-08-27,2788.500834431741
2024-08-28,2789.5201484012177
2024-08-29,2790.128849411074
2024-08-30,2789.448383812709
2024-08-31,-53715.789986522184
2024-09-01,-63524.4235604162
2024-09-02,2789.5688378884206
2024-09-03,2792.374838359028
2024-09-04,2793.394152314253
2024-09-05,2794.0028533732893
2024-09-06,2793.3223877656474
2024-09-07,-53711.915982414925
2024-09-08,-63520.549556619575
2024-09-09,2793.442841870572
2024-09-10,2796.2488422863244
2024-09-11,2797.268156267046
2024-09-12,2797.876857263929
2024-09-13,2797.196391718584
2024-09-14,-53708.04197849598
2024-09-15,-63516.675552713474
2024-09-16,2797.316845852727
2024-09-17,2800.122846220356
2024-09-18,2801.142160211484
2024-09-19,2801.7508611835874
2024-09-20,2801.070395614708
2024-09-21,-53704.167974577016
2024-09-22,-63512.80154870545
