ds,yhat
2024-03-22,31715.772726141804
2024-07-15,38652.040331173994
2024-07-16,38709.61997525703
2024-08-19,40038.39304478764
2024-08-20,40082.52267706983
2024-08-21,40648.639072734164
2024-08-22,40996.937019390665
2024-08-23,40926.73464858803
2024-08-24,181340.866804181
2024-08-25,142933.78853329882
2024-08-26,40312.973584666215
2024-08-27,40357.103216895826
2024-08-28,40923.21961302396
2024-08-29,41271.51755961424
2024-08-30,41201.3151889091
2024-08-31,181615.44734454257
2024-09-01,143208.3690734927
2024-09-02,40587.55412495326
2024-09-03,40631.68375718865
2024-09-04,41197.800153158794
2024-09-05,41546.098099837836
2024-09-06,41475.895729190706
2024-09-07,181890.02788452196
2024-09-08,143482.94961408692
2024-09-09,40862.13466510419
2024-09-10,40906.264297481495
2024-09-11,41472.380693448606
2024-09-12,41820.67864016567
2024-09-13,41750.47626947229
2024-09-14,182164.60842479134
2024-09-15,143757.5301544075
2024-09-16,41136.71520525512
2024-09-17,41180.8448376558
2024-09-18,41746.96123370361
2024-09-19,42095.25918036817
2024-09-20,42025.05680979338
2024-09-21,182439.18896506072
2024-09-22,144032.1106944746
