ds,yhat
2024-03-22,14161.548260176816
2024-07-15,17383.52711471602
2024-07-16,17466.90392248362
2024-08-19,16879.528973000044
2024-08-20,16962.95997015811
2024-08-21,17010.82128498488
2024-08-22,17159.332217281313
2024-08-23,17020.72027998979
2024-08-24,-4998.884596412741
2024-08-25,-5013.246392500272
2024-08-26,16779.108670600323
2024-08-27,16862.539667764693
2024-08-28,16910.40098258322
2024-08-29,17058.911914885804
2024-08-30,16920.299977572737
2024-08-31,-5099.3048988407845
2024-09-01,-5113.666694895124
2024-09-02,16678.68836819823
2024-09-03,16762.119365356848
2024-09-04,16809.980680181805
2024-09-05,16958.491612490296
2024-09-06,16819.879675171225
2024-09-07,-5199.725201186935
2024-09-08,-5214.086997352071
2024-09-09,16578.268065811826
2024-09-10,16661.699062949003
2024-09-11,16709.560377780144
2024-09-12,16858.071310071507
2024-09-13,16719.45937276971
2024-09-14,-5300.145503595531
2024-09-15,-5314.507299766425
2024-09-16,16477.84776342542
2024-09-17,16561.278760549932
2024-09-18,16609.140075377945
2024-09-19,16757.65100766744
2024-09-20,16619.039070352657
2024-09-21,-5400.56580600413
2024-09-22,-5414.927602141774
