ds,yhat
2024-03-22,5665.012500908342
2024-07-15,6611.306851713254
2024-07-16,6639.377311902028
2024-08-19,6752.960710285902
2024-08-20,6781.024435945322
2024-08-21,6809.954133918691
2024-08-22,6809.35414359718
2024-08-23,6788.6596205402875
2024-08-24,-2026.932130500075
2024-08-25,-2022.8848930441209
2024-08-26,6781.290135181569
2024-08-27,6809.353860881703
2024-08-28,6838.283558901771
2024-08-29,6837.6835685827455
2024-08-30,6816.989045517188
2024-08-31,-1998.6027055276645
2024-09-01,-1994.555468058311
2024-09-02,6809.61956016445
2024-09-03,6837.683285862302
2024-09-04,6866.612983884879
2024-09-05,6866.01299356831
2024-09-06,6845.318470500444
2024-09-07,-1970.2732805223022
2024-09-08,-1966.2260430974848
2024-09-09,6837.948985153705
2024-09-10,6866.012710842899
2024-09-11,6894.94240886796
2024-09-12,6894.342418544606
2024-09-13,6873.6478954837
2024-09-14,-1941.9438555419583
2024-09-15,-1937.8966181196156
2024-09-16,6866.278410142961
2024-09-17,6894.342135827041
2024-09-18,6923.271833850995
2024-09-19,6922.671843526651
2024-09-20,6901.977320460601
2024-09-21,-1913.6144305616162
2024-09-22,-1909.5671931258657
