ds,yhat
2024-07-15,3320.3399202802984
2024-07-16,3318.7643817789794
2024-08-19,3293.8501245962234
2024-08-20,3307.5745798022344
2024-08-21,3318.9427719265022
2024-08-22,3324.038816266369
2024-08-23,3354.761183344067
2024-08-24,-6118.520082852393
2024-08-25,895.5096641286736
2024-08-26,3380.3678435182846
2024-08-27,3394.816942381956
2024-08-28,3407.479874006488
2024-08-29,3412.5759183538194
2024-08-30,3443.2982854296424
2024-08-31,-6029.982980765935
2024-09-01,984.0467662210804
2024-09-02,3468.9049455990335
2024-09-03,3483.3540444659966
2024-09-04,3496.0169761149073
2024-09-05,3501.11302044127
2024-09-06,3531.835387510696
2024-09-07,-5941.4458786701725
2024-09-08,1072.5838682865979
2024-09-09,3557.442047692987
2024-09-10,3571.891146550038
2024-09-11,3584.5540781948926
2024-09-12,3589.650122526843
2024-09-13,3620.372489591749
2024-09-14,-5852.908776581464
2024-09-15,1161.120970370427
2024-09-16,3645.9791497869414
2024-09-17,3660.4282486492966
2024-09-18,3673.0911802808932
2024-09-19,3678.187224624693
2024-09-20,3708.909591677325
2024-09-21,-5764.371674492755
2024-09-22,1249.6580724714108
