ds,yhat
2024-03-22,38413.20256060183
2024-07-15,43225.781360754874
2024-07-16,43274.15014343224
2024-08-19,43409.546010695805
2024-08-20,43457.760560521405
2024-08-21,43591.43768190529
2024-08-22,43321.16196751194
2024-08-23,43336.50210186059
2024-08-24,-16466.999316667712
2024-08-25,-16461.7743811724
2024-08-26,43446.26809296645
2024-08-27,43494.48264261868
2024-08-28,43628.159763752
2024-08-29,43357.88404937564
2024-08-30,43373.22418366539
2024-08-31,-16430.27723489376
2024-09-01,-16425.052299307183
2024-09-02,43482.99017481167
2024-09-03,43531.204724448486
2024-09-04,43664.88184559866
2024-09-05,43394.606131239336
2024-09-06,43409.946265513805
2024-09-07,-16393.55515289576
2024-09-08,-16388.33021761175
2024-09-09,43519.71225670048
2024-09-10,43567.926806278294
2024-09-11,43701.603927445365
2024-09-12,43431.32821304012
2024-09-13,43446.668347362225
2024-09-14,-16356.833071067424
2024-09-15,-16351.608135800903
2024-09-16,43556.434338589286
2024-09-17,43604.64888813227
2024-09-18,43738.326009292476
2024-09-19,43468.05029487962
2024-09-20,43483.39042916702
2024-09-21,-16320.110989239089
2024-09-22,-16314.886053881328
