ds,yhat
2024-03-22,53779.81794872266
2024-07-15,60223.8106323221
2024-07-16,60473.130801870764
2024-08-19,62172.24031754033
2024-08-20,62412.16883035055
2024-08-21,63091.78064522253
2024-08-22,63483.57320431108
2024-08-23,63404.964037768645
2024-08-24,-19513.631009912664
2024-08-25,-19458.247267320396
2024-08-26,62560.04792097179
2024-08-27,62799.97643347512
2024-08-28,63479.58824805553
2024-08-29,63871.38080716746
2024-08-30,63792.77164054378
2024-08-31,-19125.82340717958
2024-09-01,-19070.439664461977
2024-09-02,62947.855523802406
2024-09-03,63187.78403628494
2024-09-04,63867.3958508901
2024-09-05,64259.18841002385
2024-09-06,64180.5792433781
2024-09-07,-18738.01580413727
2024-09-08,-18682.63206183658
2024-09-09,63335.663126693194
2024-09-10,63575.591639094724
2024-09-11,64255.203453723094
2024-09-12,64646.996012792566
2024-09-13,64568.38684621244
2024-09-14,-18350.208201329944
2024-09-15,-18294.824459052747
2024-09-16,63723.470729583976
2024-09-17,63963.39924193836
2024-09-18,64643.01105655404
2024-09-19,65034.80361561653
2024-09-20,64956.19444898757
2024-09-21,-17962.400598522632
2024-09-22,-17907.016856119735
