ds,yhat
2024-03-22,22379.371584199624
2024-07-15,25137.385062598794
2024-07-16,25329.753326995822
2024-08-19,25330.056800317187
2024-08-20,25522.33427661907
2024-08-21,25781.838569897198
2024-08-22,25842.867970978885
2024-08-23,25720.13696441054
2024-08-24,-8955.581588669223
2024-08-25,-8950.063166765669
2024-08-26,25368.57298977959
2024-08-27,25560.850466158758
2024-08-28,25820.35475950968
2024-08-29,25881.38416060111
2024-08-30,25758.653153998865
2024-08-31,-8917.065399098425
2024-09-01,-8911.546977142494
2024-09-02,25407.089179391223
2024-09-03,25599.36665576164
2024-09-04,25858.870949122796
2024-09-05,25919.90035022333
2024-09-06,25797.169343611902
2024-09-07,-8878.549209398421
2024-09-08,-8873.030787616794
2024-09-09,25445.60536902796
2024-09-10,25637.88284536453
2024-09-11,25897.387138735277
2024-09-12,25958.41653980931
2024-09-13,25835.68553322494
2024-09-14,-8840.033019796641
2024-09-15,-8834.514598024754
2024-09-16,25484.1215586647
2024-09-17,25676.399034981525
2024-09-18,25935.90332834716
2024-09-19,25996.932729417997
2024-09-20,25874.201722813268
2024-09-21,-8801.516830194863
2024-09-22,-8795.99840837045
