ds,yhat
2024-03-22,20786.289018372892
2024-07-15,23609.831438494344
2024-07-16,23715.787523109273
2024-08-19,23004.56267604538
2024-08-20,23110.493385898604
2024-08-21,23143.719973442065
2024-08-22,23247.22370102685
2024-08-23,23229.41586487853
2024-08-24,-9011.025430078387
2024-08-25,-9028.307891459515
2024-08-26,22883.50385052488
2024-08-27,22989.434560538983
2024-08-28,23022.661148106592
2024-08-29,23126.1648757006
2024-08-30,23108.35703952077
2024-08-31,-9132.084255452473
2024-09-01,-9149.366716784918
2024-09-02,22762.445025188765
2024-09-03,22868.375735194557
2024-09-04,22901.602322771763
2024-09-05,23005.10605037435
2024-09-06,22987.298214185874
2024-09-07,-9253.143080706406
2024-09-08,-9270.425542201097
2024-09-09,22641.386199875913
2024-09-10,22747.31690985013
2024-09-11,22780.543497436287
2024-09-12,22884.047225013834
2024-09-13,22866.239388850976
2024-09-14,-9374.201906051803
2024-09-15,-9391.48436755533
2024-09-16,22520.327374563065
2024-09-17,22626.25808451879
2024-09-18,22659.484672100618
2024-09-19,22762.988399675072
2024-09-20,22745.18056349321
2024-09-21,-9495.260731397198
2024-09-22,-9512.543192851897
