ds,yhat
2017-07-03,18162.512722564585
2017-07-04,18165.119324719562
2017-07-05,18125.640231416965
2017-07-06,18124.11107976682
2017-07-07,18112.133225131918
2017-07-10,18183.22716618726
2017-07-11,18185.83376834206
2017-07-12,18146.35467464911
2017-07-13,18144.825522608644
2017-07-14,18132.847667583566
2017-07-17,18203.94160746781
2017-07-18,18206.548209232584
2017-07-19,18167.06911553964
2017-07-20,18165.539962351468
2017-07-21,18153.56210617858
2017-07-24,18224.656042619798
2017-07-25,18227.262643236976
2017-07-26,18187.783548396383
2017-07-27,18186.2543952082
2017-07-28,18174.276539819253
2017-07-31,18245.370478612185
2017-08-01,18247.977080013137
2017-08-02,18208.497985956434
2017-08-03,18206.968833552266
2017-08-04,18194.99098431981
2017-08-07,18266.084941582576
2017-08-08,18268.69154913999
2017-08-09,18229.21246123996
2017-08-10,18227.6833149923
2017-08-11,18215.705465759904
2017-08-14,18286.806008487732
2017-08-16,18249.93791845539
2017-08-17,18248.410967362826
2017-08-18,18236.435313285452
2017-08-21,18307.535856013343
2017-08-23,18270.667765980892
2017-08-24,18274.037127279295
2017-08-28,18352.74726549384
2017-08-29,18360.252380597227
2017-08-30,18325.67180024325
2017-08-31,18329.0411615416
2017-09-01,18321.96181985528
2017-09-04,18407.75129988393
2017-09-05,18415.256415029904
2017-09-06,18380.675834718375
2017-09-07,18384.045196059356
2017-09-08,18376.965854415448
2017-09-11,18462.755334444035
2017-09-12,18470.260449052224
2017-09-13,18435.679868202882
2017-09-14,18439.049229005996
2017-09-15,18431.969886824158
2017-09-18,18517.75936523917
2017-09-19,18525.26447984721
2017-09-20,18490.683899536034
2017-09-21,18494.053260877237
2017-09-22,18486.973919233784
2017-09-25,18572.76339926328
2017-09-26,18580.26851440933
2017-09-27,18546.84259004203
2017-09-28,18551.36660732701
2017-09-29,18545.44192162705
2017-10-03,18643.35514057784
2017-10-04,18609.92921621034
2017-10-05,18614.453233495253
2017-10-06,18619.574708210916
2017-10-09,18741.96663731876
2017-10-10,18761.672568824448
2017-10-11,18739.292804872563
2017-10-12,18754.862982573293
2017-10-13,18759.984457289123
2017-10-16,18895.405979006526
2017-10-17,18919.455108048664
2017-10-18,18901.41854163348
2017-10-19,18921.331916870575
2017-10-23,19066.218110840593
2017-10-24,19090.267239882698
2017-10-25,19072.230673836682
2017-10-26,19092.144049443043
2017-10-27,19101.60872206488
2017-10-30,19237.030244889786
2017-10-31,19261.079374301546
2017-11-01,19243.042808255534
2017-11-02,19262.956183295715
2017-11-03,19272.420855351054
2017-11-06,19407.842376476994
2017-11-07,19431.891505322237
2017-11-08,19413.854938709883
2017-11-09,19433.768313749988
2017-11-10,19443.232986008392
2017-11-13,19578.65450774324
2017-11-14,19602.703636791415
2017-11-15,19584.667070381995
2017-11-16,19604.580445625015
2017-11-17,19614.045117873615
2017-11-20,19749.466639579507
2017-11-21,19773.515768618152
2017-11-22,19755.479202199116
2017-11-23,19775.392577432496
2017-11-24,19784.85724968105
2017-11-27,19920.27877310588
2017-11-28,19944.32790271735
2017-11-29,19926.291336871294
2017-11-30,19946.204712677558
2017-12-01,19955.669385499164
2017-12-04,20091.09090892396
2017-12-05,20122.7468415724
2017-12-06,20112.317078763455
2017-12-07,20139.837257606883
2017-12-08,20156.90873346554
2017-12-11,20315.150666001442
2017-12-12,20346.806598650117
2017-12-13,20339.09472178635
2017-12-14,20369.332786575014
2017-12-15,20389.122148378858
2017-12-18,20555.517738750525
2017-12-19,20589.891557344272
2017-12-20,20582.179680480513
2017-12-21,20612.417749148088
2017-12-22,20632.207114831
2017-12-26,20832.97653931191
2017-12-27,20825.264666327213
2017-12-28,20855.502734994767
2017-12-29,20875.29210067751
2018-01-01,21041.68770261862
2018-01-02,21076.06152506865
2018-01-03,21068.349652061344
2018-01-04,21098.587720706404
2018-01-05,21118.377086366607
