ds,yhat
2017-07-03,7541.026980648959
2017-07-04,7537.646313491781
2017-07-05,7521.712941772159
2017-07-06,7530.17931081151
2017-07-07,7524.844599799401
2017-07-10,7563.2365468714215
2017-07-11,7559.855879714145
2017-07-12,7543.922507481487
2017-07-13,7552.3888760078025
2017-07-14,7547.054164482762
2017-07-17,7585.446110015642
2017-07-18,7582.065442345507
2017-07-19,7566.13207011284
2017-07-20,7574.598438576021
2017-07-21,7569.263726987768
2017-07-24,7607.655672331278
2017-07-25,7604.275004598044
2017-07-26,7588.341632302272
2017-07-27,7596.808000765446
2017-07-28,7591.473288949829
2017-07-31,7629.865233611191
2017-08-01,7626.484565650508
2017-08-02,7610.551193127353
2017-08-03,7619.01756136319
2017-08-04,7613.682849518441
2017-08-07,7652.074794092555
2017-08-08,7648.694126102712
2017-08-09,7632.760753550503
2017-08-10,7641.227121757217
2017-08-11,7635.892409912495
2017-08-14,7674.291984498421
2017-08-16,7654.983030631032
2017-08-17,7663.45194217505
2017-08-18,7658.119773667593
2017-08-21,7696.519348253548
2017-08-23,7677.210394386109
2017-08-24,7687.16754118982
2017-08-28,7726.187888307202
2017-08-29,7724.297998914318
2017-08-30,7709.855404959134
2017-08-31,7719.812551762805
2017-09-01,7715.9686185151
2017-09-04,7758.833113024611
2017-09-05,7756.943295013208
2017-09-06,7742.500772439381
2017-09-07,7752.457990624583
2017-09-08,7748.614128758243
2017-09-11,7791.478623267733
2017-09-12,7789.588805262905
2017-09-13,7775.1462826956595
2017-09-14,7785.1035008874
2017-09-15,7781.259639027561
2017-09-18,7824.124133556684
2017-09-19,7822.234315551777
2017-09-20,7807.791793055257
2017-09-21,7817.749011317656
2017-09-22,7813.905149528673
2017-09-25,7856.769644269936
2017-09-26,7854.87982633566
2017-09-27,7845.023908211602
2017-09-28,7859.567730846434
2017-09-29,7860.310473429696
2017-10-03,7919.631567726426
2017-10-04,7909.775649602254
2017-10-05,7924.3194722370445
2017-10-06,7928.929295765793
2017-10-09,7997.154846460879
2017-10-10,8003.718713844646
2017-10-11,7997.729876665972
2017-10-12,8016.1407802463655
2017-10-13,8020.75060377521
2017-10-16,8088.976155780614
2017-10-17,8095.540023601127
2017-10-18,8089.551186859325
2017-10-19,8107.962090876406
2017-10-23,8180.79746684759
2017-10-24,8187.361334668092
2017-10-25,8181.372498296803
2017-10-26,8199.783402684448
2017-10-27,8204.393227020773
2017-10-30,8272.618780137727
2017-10-31,8279.182648328991
2017-11-01,8273.193811957712
2017-11-02,8291.604716761454
2017-11-03,8296.21454151369
2017-11-06,8364.440095878683
2017-11-07,8371.003964485855
2017-11-08,8365.015128530591
2017-11-09,8383.426033334275
2017-11-10,8388.03585728087
2017-11-13,8456.261409228748
2017-11-14,8462.825277030204
2017-11-15,8456.836440269199
2017-11-16,8475.247344267158
2017-11-17,8479.857168150775
2017-11-20,8548.082719909982
2017-11-21,8554.646587648604
2017-11-22,8548.657750824736
2017-11-23,8567.068654759802
2017-11-24,8571.678478643382
2017-11-27,8639.904030312899
2017-11-28,8646.467898021532
2017-11-29,8640.47906116778
2017-11-30,8658.889965072882
2017-12-01,8663.499788926616
2017-12-04,8731.725340596102
2017-12-05,8738.289212187236
2017-12-06,8732.30037921604
2017-12-07,8750.711287003758
2017-12-08,8755.321114740027
2017-12-11,8823.546678057106
2017-12-12,8830.110549648372
2017-12-13,8824.1226433102
2017-12-14,8842.534477731015
2017-12-15,8847.145232100325
2017-12-18,8915.373575316662
2017-12-19,8921.93837354091
2017-12-20,8915.950467202756
2017-12-21,8934.362317718536
2017-12-22,8938.973088182913
2017-12-26,9013.7662940033
2017-12-27,9007.778403760194
2017-12-28,9026.190254275969
2017-12-29,9030.801024740253
2018-01-01,9099.029415207715
2018-01-02,9105.594229182243
2018-01-03,9099.606338594445
2018-01-04,9118.018188765585
2018-01-05,9122.628958885203
2018-01-08,9158.018511775055
2018-01-09,9153.63704655708
2018-01-10,9136.702876776755
2018-01-11,9144.168447755404
2018-01-12,9137.83293868246
2018-01-15,9173.222491572338
2018-01-16,9153.214520380132
2018-01-17,9120.653844625482
2018-01-18,9112.49290962982
2018-01-19,9090.530894582695
2018-01-22,9079.040929549867
2018-01-23,9059.03295835765
2018-01-24,9018.743983283593
2018-01-25,9002.854748968519
2018-01-29,8938.489571610824
2018-01-30,8910.753301099277
2018-01-31,8870.4643260252
2018-02-01,8854.575091710207
2018-02-02,8824.88477795715
2018-02-05,8790.209916806636
2018-02-06,8762.47364690853
2018-02-07,8722.184672448027
2018-02-08,8706.295438746569
2018-02-09,8676.605124993608
2018-02-12,8641.930263842905
2018-02-14,8573.905019484397
2018-02-15,8558.015785782825
2018-02-16,8528.32547202988
2018-02-19,8493.650610879155
2018-02-20,8465.914340981215
2018-02-21,8425.625366520713
2018-02-22,8409.736132819242
2018-02-23,8380.045819066152
2018-02-26,8345.370957915518
2018-02-27,8317.63468801752
2018-02-28,8277.345713557064
2018-03-01,8261.456479855498
2018-03-05,8197.091304951902
2018-03-06,8169.355035053826
2018-03-07,8129.0660605933435
2018-03-08,8113.176826891865
2018-03-09,8083.4865131388815
2018-03-12,8048.811651988268
2018-03-13,8021.075382090206
2018-03-14,7980.7864076297155
2018-03-15,7964.897173928172
2018-03-16,7935.206860175154
2018-03-19,7900.531999024538
2018-03-20,7872.795729126505
2018-03-21,7832.506754666031
2018-03-22,7816.617520964478
2018-03-23,7786.927207211488
2018-03-26,7752.252346060902
2018-03-27,7724.51607616281
2018-03-28,7684.227101702367
2018-03-29,7668.337868000845
2018-03-30,7638.64755424782
2018-03-31,7544.694545149111
2018-04-01,7523.511762968669
2018-04-02,7603.972693097266
2018-04-03,7576.236423199108
2018-04-04,7535.947448738704
2018-04-05,7520.058215037152
2018-04-06,7490.367901284157
2018-04-07,7396.414892185414
2018-04-08,7375.2321100050885
2018-04-09,7455.693040133537
2018-04-10,7427.956770235496
2018-04-11,7387.667795775019
2018-04-12,7371.778562073514
2018-04-13,7342.0882483204905
2018-04-14,7248.135239221945
2018-04-15,7226.952457041314
2018-04-16,7307.413387169901
2018-04-17,7279.6771172717945
2018-04-18,7239.388142811334
2018-04-19,7223.498909109821
2018-04-20,7193.8085953568225
2018-04-21,7099.855586258308
2018-04-22,7078.672804077689
2018-04-23,7159.133734206285
2018-04-24,7131.397464308181
2018-04-25,7091.108489847706
2018-04-26,7075.219256146133
2018-04-27,7045.528942393158
