ds,yhat
2017-07-03,5606.651901423581
2017-07-04,5611.235074122715
2017-07-05,5596.87186143376
2017-07-06,5598.260849210984
2017-07-07,5595.762953595219
2017-07-10,5617.1918114417895
2017-07-11,5621.774984140878
2017-07-12,5607.411771444437
2017-07-13,5608.800759214185
2017-07-14,5606.302863590971
2017-07-17,5627.731721415073
2017-07-18,5632.314894106764
2017-07-19,5617.951681410325
2017-07-20,5619.340669160195
2017-07-21,5616.842773517079
2017-07-24,5638.2716312815655
2017-07-25,5642.854803953417
2017-07-26,5628.491591237117
2017-07-27,5629.88057898699
2017-07-28,5627.382683873448
2017-07-31,5648.811543226669
2017-08-01,5653.3947164280535
2017-08-02,5639.031504241323
2017-08-03,5640.420492520785
2017-08-04,5637.922598156782
2017-08-07,5659.351459758636
2017-08-08,5663.93463370952
2017-08-09,5649.571422272357
2017-08-10,5650.96041130134
2017-08-11,5648.46251693734
2017-08-14,5669.89378841968
2017-08-16,5660.115357520462
2017-08-17,5661.505149842961
2017-08-18,5659.008058772456
2017-08-21,5680.4393302548215
2017-08-23,5670.660899355567
2017-08-24,5674.692974606693
2017-08-28,5704.196286733066
2017-08-29,5711.422546906063
2017-08-30,5699.702421691023
2017-08-31,5703.734496942137
2017-09-01,5703.879688800272
2017-09-04,5733.237808530175
2017-09-05,5740.464068523721
2017-09-06,5728.743943129207
2017-09-07,5732.776018200868
2017-09-08,5732.921209879511
2017-09-11,5762.279329609391
2017-09-12,5769.505589703915
2017-09-13,5757.785464410365
2017-09-14,5761.817539582983
2017-09-15,5761.962731362558
2017-09-18,5791.320851395311
2017-09-19,5798.547111489794
2017-09-20,5786.826986516207
2017-09-21,5790.8590620087725
2017-09-22,5791.004254108366
2017-09-25,5820.362375101006
2017-09-26,5827.588635515405
2017-09-27,5815.8685159785355
2017-09-28,5819.900596907778
2017-09-29,5820.04579444399
2017-10-03,5856.630197597812
2017-10-04,5844.910078060879
2017-10-05,5848.942158990113
2017-10-06,5852.165547451944
2017-10-09,5890.758257531535
2017-10-10,5901.062714308315
2017-10-11,5892.420785697002
2017-10-12,5899.531057551907
2017-10-13,5902.754446013775
2017-10-16,5945.786142297028
2017-10-17,5957.570261141667
2017-10-18,5950.407994598288
2017-10-19,5958.997928521036
2017-10-23,6006.732675334108
2017-10-24,6018.516794178737
2017-10-25,6011.35452778417
2017-10-26,6019.944461855768
2017-10-27,6024.647512534416
2017-10-30,6067.6792092641035
2017-10-31,6079.463328257688
2017-11-01,6072.301061863123
2017-11-02,6080.890996192803
2017-11-03,6085.594047129468
2017-11-06,6128.625744633297
2017-11-07,6140.409863884875
2017-11-08,6133.247597748356
2017-11-09,6141.837532078019
2017-11-10,6146.540583278939
2017-11-13,6189.5722815754925
2017-11-14,6201.356401091302
2017-11-15,6194.194135219011
2017-11-16,6202.78406981289
2017-11-17,6207.487469110871
2017-11-20,6250.520211698681
2017-11-21,6262.3046793116155
2017-11-22,6255.142761536423
2017-11-23,6263.733044227401
2017-11-24,6268.436443525364
2017-11-27,6311.478354992823
2017-11-28,6323.265878898922
2017-11-29,6316.107017416942
2017-11-30,6324.700356401108
2017-12-01,6329.40681199231
2017-12-04,6372.448723459764
2017-12-05,6385.440888324902
2017-12-06,6379.486667802007
2017-12-07,6389.284647745261
2017-12-08,6395.195744295523
2017-12-11,6441.851578640157
2017-12-12,6454.843743505365
2017-12-13,6448.909059923534
2017-12-14,6458.726576807865
2017-12-15,6464.657210299188
2017-12-18,6511.371655467081
2017-12-19,6524.383357273321
2017-12-20,6518.448673691496
2017-12-21,6528.266190445827
2017-12-22,6534.196823807183
2017-12-26,6593.922970261259
2017-12-27,6587.988286549473
2017-12-28,6597.80580330379
2017-12-29,6603.736436665111
2018-01-01,6646.868638639969
2018-01-02,6658.686259381801
2018-01-03,6651.557494735622
2018-01-04,6660.180930555584
2018-01-05,6664.917482982531
2018-01-08,6678.2002709068465
2018-01-09,6680.068086965203
2018-01-10,6662.989517635516
2018-01-11,6661.663148771994
2018-01-12,6656.449896515419
2018-01-15,6669.732684439762
2018-01-16,6660.940708106333
2018-01-17,6633.2023463848145
2018-01-18,6621.216185129485
