ds,yhat
2017-07-03,4081.3250202691797
2017-07-04,4078.82460288423
2017-07-05,4072.2988652205686
2017-07-06,4071.1506611645
2017-07-07,4066.49789528855
2017-07-10,4075.849676000323
2017-07-11,4073.3492586153197
2017-07-12,4066.8093658405996
2017-07-13,4065.6470066734687
2017-07-14,4060.980085686504
2017-07-17,4070.2894010650703
2017-07-18,4067.7748285690886
2017-07-19,4061.2349357943667
2017-07-20,4060.079734865693
2017-07-21,4055.4199721171476
2017-07-24,4064.750762211104
2017-07-25,4062.2433479535944
2017-07-26,4055.710613417336
2017-07-27,4054.555412488657
2017-07-28,4049.8788314512085
2017-07-31,4059.159166678414
2017-08-01,4056.6349341319633
2017-08-02,4050.0853813067897
2017-08-03,4048.9133620892226
2017-08-04,4044.2295886514603
2017-08-07,4053.4883466778215
2017-08-08,4050.9569217310636
2017-08-09,4044.400176505617
2017-08-10,4043.2209648877483
2017-08-11,4038.5371914500024
2017-08-14,4049.4849447680404
2017-08-16,4041.5227714569987
2017-08-17,4040.906558269703
2017-08-18,4036.7857832625155
2017-08-21,4047.73353658056
2017-08-23,4039.7713632695013
2017-08-24,4040.902906601722
2017-08-28,4054.7209109907085
2017-08-29,4054.500240994021
2017-08-30,4050.254250718674
2017-08-31,4051.385794050881
2017-09-01,4049.0127755632357
2017-09-04,4067.43088039162
2017-09-05,4067.9525710455177
2017-09-06,4064.4489414207164
2017-09-07,4066.3228454035293
2017-09-08,4064.692187566421
2017-09-11,4083.110292394797
2017-09-12,4083.633460005972
2017-09-13,4080.131307338438
2017-09-14,4082.0066882785068
2017-09-15,4080.3775073986394
2017-09-18,4098.800043098789
2017-09-19,4099.323210709926
2017-09-20,4095.8800294412754
2017-09-21,4097.814381780198
2017-09-22,4096.244172299272
2017-09-25,4114.843622196054
2017-09-26,4115.425761206035
2017-09-27,4113.572139401391
2017-09-28,4117.096051204317
2017-09-29,4117.115401187305
2017-10-03,4142.655227950068
2017-10-04,4140.801606145385
2017-10-05,4144.325517948291
2017-10-06,4145.254254988539
2017-10-09,4171.350544449142
2017-10-10,4174.431629980425
2017-10-11,4173.48739523301
2017-10-12,4177.9206940932245
2017-10-13,4178.8494311335235
2017-10-16,4204.9568584684675
2017-10-17,4208.041656624527
2017-10-18,4207.101134501936
2017-10-19,4211.5381459869
2017-10-23,4238.578022987
2017-10-24,4241.662821143052
2017-10-25,4240.724164198296
2017-10-26,4245.163040861117
2017-10-27,4246.097355704121
2017-10-30,4272.210378572575
2017-10-31,4275.29704190658
2017-11-01,4274.35838496183
2017-11-02,4278.797968333905
2017-11-03,4279.73298988608
2017-11-06,4305.848132882197
2017-11-07,4308.935502925377
2017-11-08,4307.997552689841
2017-11-09,4312.437136061891
2017-11-10,4313.358741514326
2017-11-13,4339.433636211141
2017-11-14,4342.507590154536
2017-11-15,4341.556223819223
2017-11-16,4345.982391091502
2017-11-17,4346.91290494392
2017-11-20,4373.014524840819
2017-11-21,4376.097387184272
2017-11-22,4375.1549292489935
2017-11-23,4379.590004921297
2017-11-24,4380.520518773699
2017-11-27,4406.609369587159
2017-11-28,4409.687975569431
2017-11-29,4408.741261273012
2017-11-30,4413.172080584141
2017-12-01,4414.0983380754205
2017-12-04,4440.187188888863
2017-12-05,4443.855241632096
2017-12-06,4443.497974096664
2017-12-07,4448.518240168802
2017-12-08,4450.033944421057
2017-12-11,4477.891135517413
2017-12-12,4481.559188260703
2017-12-13,4482.395336634004
2017-12-14,4488.609018614902
2017-12-15,4491.318138775898
2017-12-18,4522.755577598527
2017-12-19,4527.6170462505315
2017-12-20,4528.453194623835
2017-12-21,4534.666876566856
2017-12-22,4537.375996690025
2017-12-26,4573.674904013136
2017-12-27,4574.511052348597
2017-12-28,4580.724734291621
2017-12-29,4583.433854414741
2018-01-01,4610.7937200058905
2018-01-02,4614.295997580692
2018-01-03,4613.772954876825
2018-01-04,4618.62744578054
2018-01-05,4619.977374864343
2018-01-08,4633.839004242028
2018-01-09,4632.841869745684
2018-01-10,4627.819414970664
2018-01-11,4628.1744938032425
2018-01-12,4625.02501081588
2018-01-15,4638.886640193573
2018-01-16,4631.9417730855175
2018-01-17,4620.971585698759
2018-01-18,4615.378931919594
2018-01-19,4606.281716320544
2018-01-22,4602.300147863117
2018-01-23,4595.355280755056
2018-01-24,4580.524193250009
2018-01-25,4571.070639352559
2018-01-29,4542.548254822881
2018-01-30,4531.742487596578
2018-01-31,4516.911400091522
2018-02-01,4507.457846194103
2018-02-02,4494.493561197838
2018-02-05,4478.910784548811
2018-02-06,4468.098848043562
2018-02-07,4453.261591259615
2018-02-08,4443.801868083296
2018-02-09,4430.837583087079
2018-02-12,4415.254806437968
2018-02-14,4389.60561314881
2018-02-15,4380.145889972443
2018-02-16,4367.18160497623
2018-02-19,4351.59882832711
2018-02-20,4340.786891821928
2018-02-21,4325.949635037984
2018-02-22,4316.48991186166
2018-02-23,4303.525626865381
2018-02-26,4287.9428502163
2018-02-27,4277.130913711097
2018-02-28,4262.293656927171
2018-03-01,4252.833933750808
2018-03-05,4224.2868721055065
2018-03-06,4213.474935600265
2018-03-07,4198.63767881633
2018-03-08,4189.177955640007
2018-03-09,4176.213670643773
2018-03-12,4160.6308939946975
2018-03-13,4149.818957489463
2018-03-14,4134.981700705526
2018-03-15,4125.5219775291735
2018-03-16,4112.557692532924
2018-03-19,4096.974915883856
2018-03-20,4086.1629793786324
2018-03-21,4071.325722594699
2018-03-22,4061.86599941834
2018-03-23,4048.9017144221075
2018-03-26,4033.318937773046
2018-03-27,4022.507001267801
2018-03-28,4007.669744483881
2018-03-29,3998.2100213075387
2018-03-30,3985.245736311285
2018-03-31,3940.7753095694256
2018-04-01,3931.681605621566
2018-04-02,3969.6629596622365
2018-04-03,3958.8510231569717
2018-04-04,3944.0137663730634
2018-04-05,3934.554043196705
2018-04-06,3921.5897582004677
2018-04-07,3877.1193314585935
2018-04-08,3868.0256275107904
2018-04-09,3906.0069815513943
2018-04-10,3895.1950450461677
2018-04-11,3880.357788262236
2018-04-12,3870.898065085897
2018-04-13,3857.9337800896506
2018-04-14,3813.4633533478673
2018-04-15,3804.3696493999214
2018-04-16,3842.3510034405854
2018-04-17,3831.5390669353374
2018-04-18,3816.701810151409
2018-04-19,3807.2420869750645
2018-04-20,3794.277801978828
2018-04-21,3749.807375237068
2018-04-22,3740.713671289119
2018-04-23,3778.6950253297914
2018-04-24,3767.8830888245343
2018-04-25,3753.0458320406046
2018-04-26,3743.5861088642373
2018-04-27,3730.621823868011
