ds,yhat
2024-03-22,10914.631297425334
2024-07-15,11737.564277626509
2024-07-16,11807.00708168112
2024-08-19,12382.015290290528
2024-08-20,12426.708134900893
2024-08-21,12512.740136383174
2024-08-22,12507.996003618406
2024-08-23,12474.782760588296
2024-08-24,55908.13983535161
2024-08-25,-1495.277389182691
2024-08-26,12354.369583137563
2024-08-27,12399.062409288636
2024-08-28,12485.094394892507
2024-08-29,12480.35026207647
2024-08-30,12447.137019028085
2024-08-31,55880.49409376649
2024-09-01,-1522.923130764466
2024-09-02,12326.723841639814
2024-09-03,12371.416667755193
2024-09-04,12457.448653169375
2024-09-05,12452.704520534531
2024-09-06,12419.491277529669
2024-09-07,55852.84835223347
2024-09-08,-1550.5688722226005
2024-09-09,12299.078100058923
2024-09-10,12343.77092622175
2024-09-11,12429.802911678711
2024-09-12,12425.058778971561
2024-09-13,12391.845536031258
2024-09-14,55825.20261066089
2024-09-15,-1578.2146137652053
2024-09-16,12271.432358478032
2024-09-17,12316.125184577651
2024-09-18,12402.157170138951
2024-09-19,12397.413037330823
2024-09-20,12364.19979447105
2024-09-21,55797.55686908832
2024-09-22,-1605.8603553861612
