ds,yhat
2024-03-22,11850.734635582307
2024-07-15,13183.944254920903
2024-07-16,13188.859476881273
2024-08-19,13973.558632797633
2024-08-20,13989.428566008677
2024-08-21,14139.871347197868
2024-08-22,14123.851264842811
2024-08-23,14101.405539990354
2024-08-24,-4315.855932557863
2024-08-25,-4292.991309814028
2024-08-26,14133.672449851823
2024-08-27,14149.542382743799
2024-08-28,14299.98516412034
2024-08-29,14283.965081770428
2024-08-30,14261.519356899791
2024-08-31,-4155.74211565788
2024-09-01,-4132.877492885955
2024-09-02,14293.786266773717
2024-09-03,14309.656199661018
2024-09-04,14460.09898104277
2024-09-05,14444.07889869805
2024-09-06,14421.633173822684
2024-09-07,-3995.62829868892
2024-09-08,-3972.763676010083
2024-09-09,14453.900083709028
2024-09-10,14469.770016578239
2024-09-11,14620.21279796524
2024-09-12,14604.192715606347
2024-09-13,14581.74699074557
2024-09-14,-3835.5144817721757
2024-09-15,-3812.6498590987558
2024-09-16,14614.013900644342
2024-09-17,14629.883833502898
2024-09-18,14780.326614887435
2024-09-19,14764.306532526489
2024-09-20,14741.860807655012
2024-09-21,-3675.400664855437
2024-09-22,-3652.536042153937
