ds,yhat
2024-03-22,3649.092820999577
2024-07-15,4173.209138570824
2024-07-16,4187.780318016999
2024-08-19,4271.617638800645
2024-08-20,4286.185693533616
2024-08-21,4165.201865356352
2024-08-22,4178.206312804174
2024-08-23,4082.982447335382
2024-08-24,-1654.7604062203395
2024-08-25,-1651.9456140999814
2024-08-26,4291.298713153354
2024-08-27,4305.866767780288
2024-08-28,4184.882939542087
2024-08-29,4197.887386991458
2024-08-30,4102.663521516932
2024-08-31,-1635.0793320416296
2024-09-01,-1632.2645399124226
2024-09-02,4310.979787339131
2024-09-03,4325.547841964286
2024-09-04,4204.56401372738
2024-09-05,4217.568461178743
2024-09-06,4122.344595702664
2024-09-07,-1615.3982578413938
2024-09-08,-1612.583465741765
2024-09-09,4330.660861528812
2024-09-10,4345.228916148285
2024-09-11,4224.245087913117
2024-09-12,4237.249535359965
2024-09-13,4142.025669888397
2024-09-14,-1595.7171836575903
2024-09-15,-1592.9023915591988
2024-09-16,4350.341935718496
2024-09-17,4364.909990334328
2024-09-18,4243.926162098976
2024-09-19,4256.930609544805
2024-09-20,4161.706744069947
2024-09-21,-1576.0361094737877
2024-09-22,-1573.2213173666455
