ds,yhat
2024-03-22,10333.377029553241
2024-07-15,11856.257269766107
2024-07-16,11897.113003636683
2024-08-19,11626.412885152873
2024-08-20,11667.276134300946
2024-08-21,11698.727371051846
2024-08-22,11733.874927870744
2024-08-23,11688.500392737598
2024-08-24,-4381.809327431602
2024-08-25,-4388.382789477658
2024-08-26,11580.49660901276
2024-08-27,11621.359857509537
2024-08-28,11652.81109443449
2024-08-29,11687.958651257926
2024-08-30,11642.584116109025
2024-08-31,-4427.725604068313
2024-09-01,-4434.299066090036
2024-09-02,11534.580332395055
2024-09-03,11575.443580887666
2024-09-04,11606.894817817276
2024-09-05,11642.042374645107
2024-09-06,11596.667839491933
2024-09-07,-4473.641880645084
2024-09-08,-4480.215342747817
2024-09-09,11488.66405578892
2024-09-10,11529.527304265795
2024-09-11,11560.978541199918
2024-09-12,11596.126098015306
2024-09-13,11550.75156287484
2024-09-14,-4519.558157267436
2024-09-15,-4526.131619374583
2024-09-16,11442.747779182788
2024-09-17,11483.611027650386
2024-09-18,11515.062264582397
2024-09-19,11550.209821396153
2024-09-20,11504.835286246265
2024-09-21,-4565.474433889786
2024-09-22,-4572.047895972569
