ds,yhat
2024-08-19,2254.3404611
2024-08-20,2253.28046168225
2024-08-21,2254.390460049
2024-08-22,2275.13047063575
2024-08-23,2284.10045682
2024-08-24,2293.07044300425
2024-08-25,2302.0404291885
2024-08-26,2311.01041537275
2024-08-27,2319.980401557
2024-08-28,2328.95038774125
2024-08-29,2337.9203739255004
2024-08-30,2346.8903601097504
2024-08-31,2355.8603462940005
2024-09-01,2364.83033247825
2024-09-02,2373.8003186625
2024-09-03,2382.77030484675
2024-09-04,2391.740291031
2024-09-05,2400.7102772152502
2024-09-06,2409.6802633995003
2024-09-07,2418.65024958375
2024-09-08,2427.620235768
2024-09-09,2436.59022195225
2024-09-10,2445.5602081365
2024-09-11,2454.53019432075
2024-09-12,2463.500180505
2024-09-13,2472.4701666892497
2024-09-14,2481.4401528734998
2024-09-15,2490.41013905775
2024-09-16,2499.3801252420003
2024-09-17,2508.3501114262504
2024-09-18,2517.3200976105004
2024-09-19,2526.29008379475
2024-09-20,2535.260069979
2024-09-21,2544.23005616325
2024-09-22,2553.2000423475
