ds,yhat
2024-03-22,35188.474594012834
2024-07-15,38911.20294235386
2024-07-16,39141.53906139854
2024-08-19,41236.70579158424
2024-08-20,41572.84198726955
2024-08-21,41570.89571407171
2024-08-22,41506.30175838628
2024-08-23,41089.928103836195
2024-08-24,192233.85106901315
2024-08-25,-171112.12511209626
2024-08-26,42171.498773820305
2024-08-27,42507.634969421204
2024-08-28,42505.68869705274
2024-08-29,42441.09474107754
2024-08-30,42024.72108628895
2024-08-31,193168.64405124474
2024-09-01,-170177.3321296536
2024-09-02,43106.29175675438
2024-09-03,43442.42795209533
2024-09-04,43440.481678558805
2024-09-05,43375.887723768785
2024-09-06,42959.51406922349
2024-09-07,194103.4370342713
2024-09-08,-169242.53914678385
2024-09-09,44041.08473925067
2024-09-10,44377.22093476946
2024-09-11,44375.274661539814
2024-09-12,44310.680706195126
2024-09-13,43894.30705215807
2024-09-14,195038.23001669446
2024-09-15,-168307.74616420458
2024-09-16,44975.87772174695
2024-09-17,45312.01391679135
2024-09-18,45310.06764421122
2024-09-19,45245.473688209706
2024-09-20,44829.100034610805
2024-09-21,195973.02299911765
2024-09-22,-167372.95318189854
