ds,yhat
2024-03-22,9994.564757046828
2024-07-15,11432.463195819078
2024-07-16,11468.556798342881
2024-08-19,11787.24008136113
2024-08-20,11819.39388283413
2024-08-21,11903.102608859877
2024-08-22,11972.551945347264
2024-08-23,11987.672168871522
2024-08-24,-3508.5671584139436
2024-08-25,-3498.597378573246
2024-08-26,11856.96086995387
2024-08-27,11889.11467135649
2024-08-28,11972.823397319764
2024-08-29,12042.272733811562
2024-08-30,12057.392957320622
2024-08-31,-3438.846369972727
2024-09-01,-3428.876590108578
2024-09-02,11926.681658413343
2024-09-03,11958.83545981203
2024-09-04,12042.54418577993
2024-09-05,12111.993522275858
2024-09-06,12127.113745780796
2024-09-07,-3369.125581473668
2024-09-08,-3359.1558016875333
2024-09-09,11996.402446884062
2024-09-10,12028.55624826757
2024-09-11,12112.264974239815
2024-09-12,12181.714310723662
2024-09-13,12196.83453424097
2024-09-14,-3299.404793018567
2024-09-15,-3289.4350132368127
2024-09-16,12066.123235354782
2024-09-17,12098.277036729429
2024-09-18,12181.985762699445
2024-09-19,12251.435099181894
2024-09-20,12266.555322690074
2024-09-21,-3229.6840045634663
2024-09-22,-3219.714224758196
