ds,yhat
2024-07-15,8804.489449127472
2024-07-16,8827.039087497567
2024-08-19,8422.67394106778
2024-08-20,8445.224044082725
2024-08-21,8506.784363864692
2024-08-22,8592.399999201765
2024-08-23,8564.153324860423
2024-08-24,-5342.270515692038
2024-08-25,-5353.179176807211
2024-08-26,8346.314084603126
2024-08-27,8368.864187543242
2024-08-28,8430.424507182563
2024-08-29,8516.04014252357
2024-08-30,8487.793468168633
2024-08-31,-5418.630372390834
2024-09-01,-5429.53903348506
2024-09-02,8269.954227920638
2024-09-03,8292.504330857224
2024-09-04,8354.06465050073
2024-09-05,8439.680285845376
2024-09-06,8411.433611486682
2024-09-07,-5494.99022903789
2024-09-08,-5505.89889020193
2024-09-09,8193.594371248175
2024-09-10,8216.14447417121
2024-09-11,8277.7047938186
2024-09-12,8363.320429152387
2024-09-13,8335.07375480473
2024-09-14,-5571.350085724334
2024-09-15,-5582.258746892191
2024-09-16,8117.234514575714
2024-09-17,8139.784617490836
2024-09-18,8201.34493713612
2024-09-19,8286.960572468814
2024-09-20,8258.71389811294
2024-09-21,-5647.709942410782
2024-09-22,-5658.61860355762
