ds,yhat
2024-07-15,31585.675226772313
2024-07-16,31911.136280875027
2024-08-19,32293.285184165044
2024-08-20,32609.9762388526
2024-08-21,32508.981769855196
2024-08-22,32374.9412107486
2024-08-23,32428.074635018715
2024-08-24,49246.745220076744
2024-08-25,-42758.855217849276
2024-08-26,32376.44857529695
2024-08-27,32693.140506091928
2024-08-28,32592.146036062935
2024-08-29,32458.105476889454
2024-08-30,32511.238901078494
2024-08-31,49329.90948606952
2024-09-01,-42675.69095177081
2024-09-02,32459.6128414927
2024-09-03,32776.30477221639
2024-09-04,32675.310301898433
2024-09-05,32541.26974303031
2024-09-06,32594.40316727526
2024-09-07,49413.073752343524
2024-09-08,-42592.52668564422
2024-09-09,32542.777107593345
2024-09-10,32859.46903834086
2024-09-11,32758.474568106165
2024-09-12,32624.434009081393
2024-09-13,32677.56743347203
2024-09-14,49496.238018403834
2024-09-15,-42509.36241955042
2024-09-16,32625.94137369399
2024-09-17,32942.63330430926
2024-09-18,32841.63883423657
2024-09-19,32707.598275042936
2024-09-20,32760.73169953181
2024-09-21,49579.402284464144
2024-09-22,-42426.19815348723
