ds,yhat
2024-07-15,17071.776423319057
2024-07-16,17080.574104856707
2024-08-19,17964.889669556243
2024-08-20,18061.33752022175
2024-08-21,18133.196185087134
2024-08-22,18204.732628434635
2024-08-23,18166.79207155756
2024-08-24,49891.83599997411
2024-08-25,48438.160589249164
2024-08-26,17925.7743509578
2024-08-27,18025.018723588284
2024-08-28,18251.742437444726
2024-08-29,18323.278880782134
2024-08-30,18285.338323934877
2024-08-31,50010.382252366544
2024-09-01,48556.70684159483
2024-09-02,18044.32060331577
2024-09-03,18143.56497595363
2024-09-04,18370.28868979682
2024-09-05,18441.825133129634
2024-09-06,18403.88457629143
2024-09-07,50128.928504645504
2024-09-08,48675.253094031315
2024-09-09,18162.866855649554
2024-09-10,18262.111228318972
2024-09-11,18488.83494215441
2024-09-12,18560.371385509432
2024-09-13,18522.430828647986
2024-09-14,50247.47475701053
2024-09-15,48793.79934640562
2024-09-16,18281.41310798334
2024-09-17,18380.657480669375
2024-09-18,18607.381194510202
2024-09-19,18678.91763786693
2024-09-20,18640.9770810253
2024-09-21,50366.02100937557
2024-09-22,48912.34559872265
