ds,yhat
2024-07-15,19036.986698023797
2024-07-16,19055.009684518143
2024-08-19,20130.472326285424
2024-08-20,20249.34531351169
2024-08-21,20361.835102841043
2024-08-22,20346.980294625282
2024-08-23,20261.419402168434
2024-08-24,42171.59919477056
2024-08-25,-8031.598573908039
2024-08-26,20342.416787142556
2024-08-27,20441.246884254157
2024-08-28,20543.292981499162
2024-08-29,20528.438173243023
2024-08-30,20442.87728075427
2024-08-31,42353.05707332639
2024-09-01,-7850.140695324666
2024-09-02,20523.874665794156
2024-09-03,20622.704762870224
2024-09-04,20724.750859953605
2024-09-05,20709.896051860764
2024-09-06,20624.33515940591
2024-09-07,42534.51495198817
2024-09-08,-7668.682816679131
2024-09-09,20705.33254438457
2024-09-10,20804.16264148629
2024-09-11,20906.20873861172
2024-09-12,20891.353930443216
2024-09-13,20805.79303805756
2024-09-14,42715.97283056953
2024-09-15,-7487.2249380759895
2024-09-16,20886.790422974987
2024-09-17,20985.62052001189
2024-09-18,21087.66661722689
2024-09-19,21072.81180896792
2024-09-20,20987.250916643396
2024-09-21,42897.43070915091
2024-09-22,-7305.767059512396
