ds,yhat
2024-03-22,4922.171559956978
2024-07-15,7403.243953985097
2024-07-16,7296.201873756938
2024-08-19,7819.737976847115
2024-08-20,7712.695880524125
2024-08-21,7043.329968029186
2024-08-22,7026.4602651712285
2024-08-23,6754.747037946074
2024-08-24,-1157.3058356562951
2024-08-25,-1145.409813587151
2024-08-26,7903.036776383789
2024-08-27,7795.994679918773
2024-08-28,7126.628767282853
2024-08-29,7109.759064426902
2024-08-30,6838.045837193386
2024-08-31,-1074.0070364128487
2024-09-01,-1062.1110143308233
2024-09-02,7986.335575637964
2024-09-03,7879.293479169535
2024-09-04,7209.927566534185
2024-09-05,7193.057863682576
2024-09-06,6921.3446364469255
2024-09-07,-990.7082371390816
2024-09-08,-978.8122151002335
2024-09-09,8069.634374896908
2024-09-10,7962.592278420299
2024-09-11,7293.226365787854
2024-09-12,7276.356662929518
2024-09-13,7004.643435700464
2024-09-14,-907.4094378885229
2024-09-15,-895.5134158505016
2024-09-16,8152.933174155851
2024-09-17,8045.891077673059
2024-09-18,7376.525165042491
2024-09-19,7359.655462181088
2024-09-20,7087.942234947778
2024-09-21,-824.1106386379633
2024-09-22,-812.214616587582
