ds,yhat
2024-03-22,7649.476723981124
2024-07-15,8781.737126432301
2024-07-16,8790.345044101989
2024-08-19,9241.622510843146
2024-08-20,9253.573243305502
2024-08-21,9307.814064277261
2024-08-22,9317.506408371266
2024-08-23,9299.914787981186
2024-08-24,-2645.2415884303728
2024-08-25,-2632.008897862411
2024-08-26,9334.268180127232
2024-08-27,9346.218912542645
2024-08-28,9400.459733461661
2024-08-29,9410.152077559016
2024-08-30,9392.560457157144
2024-08-31,-2552.5959192605196
2024-09-01,-2539.3632286743477
2024-09-02,9426.91384931131
2024-09-03,9438.864581723627
2024-09-04,9493.105402646008
2024-09-05,9502.797746746763
2024-09-06,9485.206126341784
2024-09-07,-2459.9502500459475
2024-09-08,-2446.7175595202207
2024-09-09,9519.559518504037
2024-09-10,9531.51025090461
2024-09-11,9585.751071830406
2024-09-12,9595.443415921904
2024-09-13,9577.851795526423
2024-09-14,-2367.304580865285
2024-09-15,-2354.071890342956
2024-09-16,9612.205187696762
2024-09-17,9624.155920090378
2024-09-18,9678.396741014672
2024-09-19,9688.08908510482
2024-09-20,9670.497464702381
2024-09-21,-2274.6589116846217
2024-09-22,-2261.4262211440955
