ds,yhat
2024-03-22,12029.864076132697
2024-07-15,14890.44073126587
2024-07-16,14915.970307042633
2024-08-19,14844.303048455658
2024-08-20,14869.831154867372
2024-08-21,14978.543654929173
2024-08-22,15008.55132697881
2024-08-23,15051.53031641044
2024-08-24,-3583.0151688202022
2024-08-25,-3584.3461066241434
2024-08-26,14835.075216618076
2024-08-27,14860.603322290208
2024-08-28,14969.315821843713
2024-08-29,14999.323493898695
2024-08-30,15042.302483312083
2024-08-31,-3592.2430019280964
2024-09-01,-3593.573939703847
2024-09-02,14825.84738353209
2024-09-03,14851.375489199563
2024-09-04,14960.087988758693
2024-09-05,14990.09566081858
2024-09-06,15033.074650227067
2024-09-07,-3601.470834966436
2024-09-08,-3602.801772835868
2024-09-09,14816.619550459716
2024-09-10,14842.147656108926
2024-09-11,14950.860155673237
2024-09-12,14980.867827718672
2024-09-13,15023.846817142052
2024-09-14,-3610.6986680575774
2024-09-15,-3612.0296059324264
2024-09-16,14807.391717387345
2024-09-17,14832.919823025963
2024-09-18,14941.632322587571
2024-09-19,14971.639994631278
2024-09-20,15014.618984043696
2024-09-21,-3619.926501148715
2024-09-22,-3621.257438995277
