ds,yhat
2024-03-22,8146.473973666511
2024-07-15,9335.363894215197
2024-07-16,9338.857476126186
2024-08-19,9191.063187467433
2024-08-20,9194.56255102649
2024-08-21,9234.399870886711
2024-08-22,9266.439301889312
2024-08-23,9271.863066186153
2024-08-24,-3375.563726886043
2024-08-25,-3379.68275988407
2024-08-26,9162.243518773883
2024-08-27,9165.74288246609
2024-08-28,9205.580202369236
2024-08-29,9237.619633375438
2024-08-30,9243.043397659872
2024-08-31,-3404.383395418771
2024-09-01,-3408.502428397641
2024-09-02,9133.423850256077
2024-09-03,9136.923213945052
2024-09-04,9176.760533851932
2024-09-05,9208.799964861566
2024-09-06,9214.223729142654
2024-09-07,-3433.2030639042905
2024-09-08,-3437.322096946865
2024-09-09,9104.60418174744
2024-09-10,9108.10354542402
2024-09-11,9147.940865334458
2024-09-12,9179.98029633423
2024-09-13,9185.404060625438
2024-09-14,-3462.022732425672
2024-09-15,-3466.1417654718243
2024-09-16,9075.784513238807
2024-09-17,9079.28387690812
2024-09-18,9119.12119681683
2024-09-19,9151.160627815374
2024-09-20,9156.584392099156
2024-09-21,-3490.84240094705
2024-09-22,-3494.9614339740065
