ds,yhat
2024-03-22,21756.395657018395
2024-07-15,24609.889766913675
2024-07-16,24726.6073443539
2024-08-19,24863.99778340206
2024-08-20,24980.735075340963
2024-08-21,25166.42265587627
2024-08-22,25278.688797152114
2024-08-23,25212.799983748017
2024-08-24,-8569.054268348269
2024-08-25,-8561.832124735223
2024-08-26,24914.95744284198
2024-08-27,25031.694734654742
2024-08-28,25217.382313783266
2024-08-29,25329.64845506865
2024-08-30,25263.759641631455
2024-08-31,-8518.09461048194
2024-09-01,-8510.872466817804
2024-09-02,24965.917100748142
2024-09-03,25082.6543925523
2024-09-04,25268.34197169079
2024-09-05,25380.60811298518
2024-09-06,25314.719299539007
2024-09-07,-8467.134952489634
2024-09-08,-8459.912808995516
2024-09-09,25016.87675867873
2024-09-10,25133.614050449854
2024-09-11,25319.301629597787
2024-09-12,25431.56777086606
2024-09-13,25365.67895744655
2024-09-14,-8416.1752945931
2024-09-15,-8408.953151108417
2024-09-16,25067.836416609316
2024-09-17,25184.573708361117
2024-09-18,25370.26128750421
2024-09-19,25482.527428769365
2024-09-20,25416.638615329994
2024-09-21,-8365.215636696563
2024-09-22,-8357.993493160679
