ds,yhat
2024-03-22,25455.17903905442
2024-07-15,31047.09968899167
2024-07-16,31138.912480214305
2024-08-19,30596.999148954506
2024-08-20,30704.461931572543
2024-08-21,31002.047201461784
2024-08-22,31058.50716377038
2024-08-23,30904.730984127105
2024-08-24,-7460.175588318874
2024-08-25,590894.1405184916
2024-08-26,30616.529359290784
2024-08-27,30723.992142885472
2024-08-28,31021.577414307307
2024-08-29,31078.03737703203
2024-08-30,30924.261197988235
2024-08-31,-7440.645373985346
2024-09-01,590913.670732158
2024-09-02,30636.059572218932
2024-09-03,30743.522356295798
2024-09-04,31041.107629578604
2024-09-05,31097.56759029368
2024-09-06,30943.791410904436
2024-09-07,-7421.115161747337
2024-09-08,590933.2009457161
2024-09-09,30655.58978571456
2024-09-10,30763.052569706153
2024-09-11,31060.637842424112
2024-09-12,31117.097804217818
2024-09-13,30963.321623820637
2024-09-14,-7401.584947919066
2024-09-15,590952.7311593478
2024-09-16,30675.119999210263
2024-09-17,30782.58278410451
2024-09-18,31080.16805577885
2024-09-19,31136.628018676958
2024-09-20,30982.85183768178
2024-09-21,-7382.05473409078
2024-09-22,590972.2613730488
