ds,yhat
2024-03-22,1849.911427970834
2024-07-15,2101.500191049436
2024-07-16,2087.8525403182407
2024-08-19,2085.049362509836
2024-08-20,2071.401268848115
2024-08-21,2100.050088517477
2024-08-22,2095.9998324143226
2024-08-23,2068.8364960616213
2024-08-24,-816.6048137122707
2024-08-25,-817.0777435438345
2024-08-26,2081.7591082005865
2024-08-27,2068.111014537283
2024-08-28,2096.7598342002907
2024-08-29,2092.709578097908
2024-08-30,2065.5462417423364
2024-08-31,-819.895068033027
2024-09-01,-820.3679978601726
2024-09-02,2078.4688538832856
2024-09-03,2064.820760219243
2024-09-04,2093.4695798830116
2024-09-05,2089.4193237814925
2024-09-06,2062.25598742519
2024-09-07,-823.1853223429835
2024-09-08,-823.6582521847381
2024-09-09,2075.1785995680657
2024-09-10,2061.5305059012026
2024-09-11,2090.179325565825
2024-09-12,2086.1290694620807
2024-09-13,2058.9657331080443
2024-09-14,-826.475576661099
2024-09-15,-826.9485065036963
2024-09-16,2071.8883452528453
2024-09-17,2058.2402515842914
2024-09-18,2086.8890712485213
2024-09-19,2082.8388151444533
2024-09-20,2055.675478788759
2024-09-21,-829.7658309792146
2024-09-22,-830.2387608174138
