ds,yhat
2024-03-22,8294.720897084904
2024-07-15,9353.372725443016
2024-07-16,9370.986787888061
2024-08-19,9539.282223485152
2024-08-20,9556.834380695835
2024-08-21,9264.602705724326
2024-08-22,9326.930809879303
2024-08-23,9126.87173132002
2024-08-24,-3907.963424381719
2024-08-25,-3902.6544531993122
2024-08-26,9576.451743845459
2024-08-27,9594.0039013101
2024-08-28,9301.772226374645
2024-08-29,9364.100330533156
2024-08-30,9164.041251960845
2024-08-31,-3870.793903747335
2024-09-01,-3865.484932544846
2024-09-02,9613.62126449587
2024-09-03,9631.173421956457
2024-09-04,9338.941747023986
2024-09-05,9401.269851187011
2024-09-06,9201.210772611135
2024-09-07,-3833.624383064067
2024-09-08,-3828.3154119287556
2024-09-09,9650.790785155135
2024-09-10,9668.342942602812
2024-09-11,9376.111267674303
2024-09-12,9438.439371826964
2024-09-13,9238.380293261425
2024-09-14,-3796.4548624181507
2024-09-15,-3791.1458912856015
2024-09-16,9687.9603058144
2024-09-17,9705.512463253814
2024-09-18,9413.280788324864
2024-09-19,9475.608892475298
2024-09-20,9275.549813902251
2024-09-21,-3759.2853417722354
2024-09-22,-3753.9763706198237
