ds,yhat
2024-03-22,18948.676265127782
2024-07-15,23956.393460544346
2024-07-16,24050.320736756767
2024-08-19,24620.025377389175
2024-08-20,24713.97006855422
2024-08-21,25002.839746422564
2024-08-22,25131.31918209452
2024-08-23,25143.661398394644
2024-08-24,-4209.060204835587
2024-08-25,-4190.130133348881
2024-08-26,24752.87366466169
2024-08-27,24846.818355578303
2024-08-28,25135.688033259565
2024-08-29,25264.167468939842
2024-08-30,25276.50968521125
2024-08-31,-4076.2119180338996
2024-09-01,-4057.2818465028868
2024-09-02,24885.72195149779
2024-09-03,24979.66664240715
2024-09-04,25268.536320097337
2024-09-05,25397.015755785163
2024-09-06,25409.35797204878
2024-09-07,-3943.3636311227783
2024-09-08,-3924.4335597391037
2024-09-09,25018.5702383553
2024-09-10,25112.514929236004
2024-09-11,25401.384606934334
2024-09-12,25529.864042599456
2024-09-13,25542.206258886312
2024-09-14,-3810.5153442947994
2024-09-15,-3791.585272919583
2024-09-16,25151.418525212805
2024-09-17,25245.36321607695
2024-09-18,25534.232893770597
2024-09-19,25662.71232943338
2024-09-20,25675.05454570292
2024-09-21,-3677.6670574668133
2024-09-22,-3658.7369860471117
