ds,yhat
2024-03-22,12898.720345379203
2024-07-15,14612.651160020401
2024-07-16,14706.263103305973
2024-08-19,14829.647539456368
2024-08-20,14923.247027923418
2024-08-21,15096.200797225865
2024-08-22,15227.87146868399
2024-08-23,15150.449821386908
2024-08-24,-4850.203967471938
2024-08-25,-4844.000109900913
2024-08-26,14873.04432187595
2024-08-27,14966.64381007399
2024-08-28,15139.597579126099
2024-08-29,15271.268250589821
2024-08-30,15193.846603273189
2024-08-31,-4806.807185595699
2024-09-01,-4800.603327994551
2024-09-02,14916.441103775649
2024-09-03,15010.04059196866
2024-09-04,15182.994361026766
2024-09-05,15314.66503249565
2024-09-06,15237.24338517362
2024-09-07,-4763.410403645043
2024-09-08,-4757.20654614428
2024-09-09,14959.837885689769
2024-09-10,15053.437373863324
2024-09-11,15226.391142927001
2024-09-12,15358.061814380417
2024-09-13,15280.640167074052
2024-09-14,-4720.013621751043
2024-09-15,-4713.809764255777
2024-09-16,15003.23466760389
2024-09-17,15096.834155766117
2024-09-18,15269.78792482659
2024-09-19,15401.458596278517
2024-09-20,15324.036948960333
2024-09-21,-4676.616839857039
2024-09-22,-4670.412982331551
