ds,yhat
2024-03-22,31611.518630678394
2024-07-15,37328.641167349204
2024-07-16,37411.38376591891
2024-08-19,39767.483203736476
2024-08-20,39964.8257097502
2024-08-21,40261.84653995613
2024-08-22,40439.345175414215
2024-08-23,40390.06524280788
2024-08-24,-111673.7732347451
2024-08-25,-118990.92332345615
2024-08-26,40528.76508087832
2024-08-27,40726.107586150196
2024-08-28,41023.128415368185
2024-08-29,41200.627050864314
2024-08-30,41151.347118100304
2024-08-31,-110912.49135953643
2024-09-01,-118229.64144800707
2024-09-02,41290.046956285754
2024-09-03,41487.38946151192
2024-09-04,41784.41029075028
2024-09-05,41961.90892631441
2024-09-06,41912.62899351468
2024-09-07,-110151.20948373107
2024-09-08,-117468.35957298958
2024-09-09,42051.328831796476
2024-09-10,42248.671336873624
2024-09-11,42545.69216616232
2024-09-12,42723.190801594516
2024-09-13,42673.91086892907
2024-09-14,-109389.92760837865
2024-09-15,-116707.07769767761
2024-09-16,42812.610707307205
2024-09-17,43009.95321228433
2024-09-18,43306.97404156738
2024-09-19,43484.4726769686
2024-09-20,43435.192744221495
2024-09-21,-108628.6457330262
2024-09-22,-115945.7958220914
