ds,yhat
2024-03-22,9714.34283978515
2024-07-15,11016.753237309644
2024-07-16,11093.202454801227
2024-08-19,11057.827435627116
2024-08-20,11134.276906436588
2024-08-21,11196.529963801153
2024-08-22,11254.618055994264
2024-08-23,11179.197983342345
2024-08-24,-3922.6556393872943
2024-08-25,-3921.4934478893165
2024-08-26,11066.044052188354
2024-08-27,11142.49352320888
2024-08-28,11204.746580695784
2024-08-29,11262.834672893121
2024-08-30,11187.414600226415
2024-08-31,-3914.4390225108154
2024-09-01,-3913.276830990014
2024-09-02,11074.260669082667
2024-09-03,11150.710140099285
2024-09-04,11212.96319759058
2024-09-05,11271.05128979198
2024-09-06,11195.631217121221
2024-09-07,-3906.2224055780734
2024-09-08,-3905.0602141333256
2024-09-09,11082.477285987821
2024-09-10,11158.926756989695
2024-09-11,11221.179814485207
2024-09-12,11279.267906674972
2024-09-13,11203.847834016029
2024-09-14,-3898.0057886881586
2024-09-15,-3896.8435972474963
2024-09-16,11090.693902892974
2024-09-17,11167.143373886163
2024-09-18,11229.396431379573
2024-09-19,11287.484523567915
2024-09-20,11212.0644509001
2024-09-21,-3889.789171798251
2024-09-22,-3888.6269803347204
