ds,yhat
2024-03-22,15105.049123605038
2024-07-15,18892.336608299884
2024-07-16,18935.46845314141
2024-08-19,19011.34906562636
2024-08-20,19094.83093013716
2024-08-21,19184.03625040226
2024-08-22,19320.429685034687
2024-08-23,19253.587892610118
2024-08-24,-7555.356262199403
2024-08-25,-39388.86875321674
2024-08-26,19305.571485531123
2024-08-27,19389.053349788417
2024-08-28,19478.25866982202
2024-08-29,19614.652104440356
2024-08-30,19547.810311955436
2024-08-31,-7261.133842893849
2024-09-01,-39094.64633383182
2024-09-02,19599.793904945815
2024-09-03,19683.275769169864
2024-09-04,19772.481089112556
2024-09-05,19908.87452384603
2024-09-06,19842.032731371823
2024-09-07,-6966.911423368828
2024-09-08,-38800.42391452301
2024-09-09,19894.01632435101
2024-09-10,19977.49818855132
2024-09-11,20066.70350853231
2024-09-12,20203.096943185854
2024-09-13,20136.255150788216
2024-09-14,-6672.6890040105045
2024-09-15,-38506.201495162095
2024-09-16,20188.238743756207
2024-09-17,20271.720607891642
2024-09-18,20360.925927924476
2024-09-19,20497.319362516228
2024-09-20,20430.47757013353
2024-09-21,-6378.4665846521875
2024-09-22,-38211.979075753145
